Entry ID,Contest Name,Contest ID,Entry Fee,CPT,FLEX,FLEX,FLEX,FLEX,FLEX
5259382684,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Khalil Shakir (44138440),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402795,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Josh Allen (44138479),Jahmyr Gibbs (44138432),Amon-Ra St. Brown (44138434),Khalil Shakir (44138440),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402796,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Jameson Williams (44138438),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402797,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Josh Allen (44138479),Jahmyr Gibbs (44138432),Amon-Ra St. Brown (44138434),Jameson Williams (44138438),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402798,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Amon-Ra St. Brown (44138480),Jahmyr Gibbs (44138432),Josh Allen (44138433),Khalil Shakir (44138440),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402799,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Sam LaPorta (44138445),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402800,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Ray Davis (44138501),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Jared Goff (44138435),Dawson Knox (44138454)
5259402801,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Ray Davis (44138501),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Khalil Shakir (44138440),Sam LaPorta (44138445)
5259402802,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),Josh Allen (44138433),Jared Goff (44138435),Khalil Shakir (44138440),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402803,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Amon-Ra St. Brown (44138480),Jahmyr Gibbs (44138432),Josh Allen (44138433),Khalil Shakir (44138440),Ray Davis (44138455),Brock Wright (44138457)
5259402804,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Sam LaPorta (44138445),Ray Davis (44138455),Brock Wright (44138457)
5259402805,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Tyler Bass (44138446),Jake Bates (44138447),Frank Gore Jr. (44138464)
5259402806,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jared Goff (44138481),Jahmyr Gibbs (44138432),Josh Allen (44138433),Khalil Shakir (44138440),Sam LaPorta (44138445),Frank Gore Jr. (44138464)
5259402807,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Josh Allen (44138479),Jahmyr Gibbs (44138432),Amon-Ra St. Brown (44138434),Sam LaPorta (44138445),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402808,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Ray Davis (44138501),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Jared Goff (44138435),Frank Gore Jr. (44138464)
5259402809,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Amon-Ra St. Brown (44138480),Jahmyr Gibbs (44138432),Josh Allen (44138433),Sam LaPorta (44138445),Tyler Bass (44138446),Frank Gore Jr. (44138464)
5259402810,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Amon-Ra St. Brown (44138480),Jahmyr Gibbs (44138432),Josh Allen (44138433),Sam LaPorta (44138445),Jake Bates (44138447),Frank Gore Jr. (44138464)
5259402811,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Amon-Ra St. Brown (44138480),Jahmyr Gibbs (44138432),Josh Allen (44138433),Jameson Williams (44138438),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402812,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Josh Allen (44138479),Jahmyr Gibbs (44138432),Jared Goff (44138435),Khalil Shakir (44138440),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402813,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Khalil Shakir (44138486),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Sam LaPorta (44138445),Frank Gore Jr. (44138464)
5259394816,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Sam LaPorta (44138491),Jahmyr Gibbs (44138432),Josh Allen (44138433),Jared Goff (44138435),Khalil Shakir (44138440),Ray Davis (44138455)
5259394817,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Josh Allen (44138479),Jahmyr Gibbs (44138432),Amon-Ra St. Brown (44138434),Sam LaPorta (44138445),Ray Davis (44138455),Brock Wright (44138457)
5259394818,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Ray Davis (44138501),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Jared Goff (44138435),Brock Wright (44138457)
5259394819,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Josh Allen (44138479),Jahmyr Gibbs (44138432),Amon-Ra St. Brown (44138434),Tyler Bass (44138446),Jake Bates (44138447),Frank Gore Jr. (44138464)
5259394820,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Amon-Ra St. Brown (44138480),Jahmyr Gibbs (44138432),Josh Allen (44138433),Khalil Shakir (44138440),Keon Coleman (44138448),Frank Gore Jr. (44138464)
5259394821,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jake Bates (44138493),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Khalil Shakir (44138440),Ray Davis (44138455)
5259394822,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Khalil Shakir (44138486),Jahmyr Gibbs (44138432),Josh Allen (44138433),Jared Goff (44138435),Tyler Bass (44138446),Ray Davis (44138455)
5259394823,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Khalil Shakir (44138486),Jahmyr Gibbs (44138432),Josh Allen (44138433),Jared Goff (44138435),Jake Bates (44138447),Ray Davis (44138455)
5259394824,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Ray Davis (44138501),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Khalil Shakir (44138440),Tyler Bass (44138446)
5259394825,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Khalil Shakir (44138486),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Ray Davis (44138455),Keon Coleman (44138448)
5259394826,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Ray Davis (44138501),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Khalil Shakir (44138440),Jake Bates (44138447)
5259394827,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Sam LaPorta (44138491),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Khalil Shakir (44138440),Frank Gore Jr. (44138464)
5259394828,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jared Goff (44138481),Jahmyr Gibbs (44138432),Josh Allen (44138433),Khalil Shakir (44138440),Tyler Bass (44138446),Frank Gore Jr. (44138464)
5259394829,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jared Goff (44138481),Jahmyr Gibbs (44138432),Josh Allen (44138433),Khalil Shakir (44138440),Jake Bates (44138447),Frank Gore Jr. (44138464)
5259394830,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Sam LaPorta (44138491),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Tyler Bass (44138446),Ray Davis (44138455)
5259394831,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Sam LaPorta (44138491),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Jake Bates (44138447),Ray Davis (44138455)
5259394832,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Khalil Shakir (44138486),Jahmyr Gibbs (44138432),Amon-Ra St. Brown (44138434),Jared Goff (44138435),Sam LaPorta (44138445),Ray Davis (44138455)
5259394833,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jared Goff (44138481),Jahmyr Gibbs (44138432),Josh Allen (44138433),Tyler Bass (44138446),Jake Bates (44138447),Ray Davis (44138455)
5259394834,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Khalil Shakir (44138486),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Tyler Bass (44138446),Frank Gore Jr. (44138464)
5259394835,NFL Showdown $250 Quarter Jukebox [Just $0.25!] (DET @ BUF),195785364,$0.25,Jared Goff (44138481),Jahmyr Gibbs (44138432),Josh Allen (44138433),Khalil Shakir (44138440),Ray Davis (44138455),Dawson Knox (44138454)
