scope_id,scope_name,scope_kind,depends_on_scopes,required_gates,blocking_reason_codes,non_blocking_reason_codes,market_comparison_gate
F1,team totals and game worlds,FOOTBALL,,G-I-1;G-I-2;G-II-1;G-IV-1;G-VI-2;G-X-1;G-X-3;G-XV-1;G-XV-2;G-XVI-1;G-XVII-1;G-XVII-2;G-XX-1;G-XXXVII-1;G-XXXVIII-1;G-XXXV-1;G-VI-1;G-X-2;G-X-4;G-XI-1;G-XI-2;G-XIV-1;G-XIV-2;G-XV-3,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;WEATHER_PROXY,IDENTITY_UNRESOLVED;MARKET_INTERVAL_INCLUDES_ZERO,
F2,"player volume (snaps, targets, carries)",FOOTBALL,F1,G-III-1;G-III-2;G-V-1;G-VII-1;G-VII-2;G-VIII-1,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;NO_ANALOGUE;ROUTES_PROXY,IDENTITY_UNRESOLVED;MARKET_INTERVAL_INCLUDES_ZERO,
F3,player yardage and TD distributions,FOOTBALL,F2,G-IX-1;G-XVIII-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;NO_ANALOGUE,IDENTITY_UNRESOLVED;MARKET_INTERVAL_INCLUDES_ZERO,
F4,kicker,FOOTBALL,F1,G-XXIII-1,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED,IDENTITY_UNRESOLVED;MARKET_INTERVAL_INCLUDES_ZERO,
F5,DST events and DK points allowed,FOOTBALL,F1,G-XXII-1;G-XXII-2;G-XXII-3,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED,IDENTITY_UNRESOLVED;MARKET_INTERVAL_INCLUDES_ZERO,
P1.passing_yards,prop family passing_yards,BETTING,F3,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.passing_attempts,prop family passing_attempts,BETTING,F2,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.completions,prop family completions,BETTING,F3,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.passing_td,prop family passing_td,BETTING,F3,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
P1.interceptions,prop family interceptions,BETTING,F3,G-XVIII-1;G-XVIII-3;G-XIX-1;G-XIX-2;G-XIX-3;G-XIX-4;G-XX-2,RELEASE_UNPROVEN;NO_OUTPUT;STALE_INPUT;GAMEDAY_STATUS_UNKNOWN;CONFLICT_UNRESOLVED;CALIBRATION_INFEASIBLE,IDENTITY_UNRESOLVED,G-XX-2
