Entry ID,Contest Name,Contest ID,Entry Fee,CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
5264471302,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,1. Column A lists all of your contest entries for this draftgroup
5264471303,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,2. Your current lineup is listed next to each entry (blank for reservations)
5264471304,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5264471305,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5264471306,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,5. For faster processing only include entries you are changing in the file you upload
5264471307,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,
5264471308,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5264471309,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Jonathan Taylor (44191068),Jonathan Taylor,44191068,CPT,16500,IND@KC 09/20/2026 08:20PM ET,IND,26.1
5264471310,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Kenneth Walker III (44191069),Kenneth Walker III,44191069,CPT,15900,IND@KC 09/20/2026 08:20PM ET,KC,37.1
5264471311,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Patrick Mahomes (44191070),Patrick Mahomes,44191070,CPT,15000,IND@KC 09/20/2026 08:20PM ET,KC,22.66
5264471312,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Rashee Rice (44191071),Rashee Rice,44191071,CPT,14100,IND@KC 09/20/2026 08:20PM ET,KC,9.9
5264471313,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Daniel Jones (44191072),Daniel Jones,44191072,CPT,13800,IND@KC 09/20/2026 08:20PM ET,IND,10.04
5264471314,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Alec Pierce (44191073),Alec Pierce,44191073,CPT,11400,IND@KC 09/20/2026 08:20PM ET,IND,10.1
5264471315,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Jonathan Taylor (44191014),Jonathan Taylor,44191014,FLEX,11000,IND@KC 09/20/2026 08:20PM ET,IND,26.1
5264471316,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Tyler Warren (44191074),Tyler Warren,44191074,CPT,10800,IND@KC 09/20/2026 08:20PM ET,IND,10.3
5264471317,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Kenneth Walker III (44191015),Kenneth Walker III,44191015,FLEX,10600,IND@KC 09/20/2026 08:20PM ET,KC,37.1
5264471318,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Patrick Mahomes (44191016),Patrick Mahomes,44191016,FLEX,10000,IND@KC 09/20/2026 08:20PM ET,KC,22.66
5264471319,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Josh Downs (44191075),Josh Downs,44191075,CPT,9900,IND@KC 09/20/2026 08:20PM ET,IND,5.7
5264471320,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,WR,Rashee Rice (44191017),Rashee Rice,44191017,FLEX,9400,IND@KC 09/20/2026 08:20PM ET,KC,9.9
5264471321,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Travis Kelce (44191076),Travis Kelce,44191076,CPT,9300,IND@KC 09/20/2026 08:20PM ET,KC,10.1
5264471322,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Daniel Jones (44191018),Daniel Jones,44191018,FLEX,9200,IND@KC 09/20/2026 08:20PM ET,IND,10.04
5264471323,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,QB,Justin Fields (44191077),Justin Fields,44191077,CPT,9000,IND@KC 09/20/2026 08:20PM ET,KC,0
