,,,,,,,,,,,,,,,,,,,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2025 Avg,2026 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,EXP+,Used,Con.,Value
Jaxson Dart,,0,QB,QB1,9800,NYG,@ LAR,20,20.25,9.8,17.8,26.6,24.44,24.44,0,9.74,44.04,24.44,24.44,100,100,10%,46,2.5
Davante Adams,,0,WR,WR1,8800,LAR,vs NYG,24,26.75,10.9,16.1,5.6,20.68,20.68,0,4.33,42.48,20.68,20.68,100,100,55%,42,2.4
Matthew Stafford,,0,QB,QB1,10000,LAR,vs NYG,16,26.75,7.2,22,5.1,17.8,17.8,0,7,32.2,17.8,17.8,100,100,25%,61,1.8
Kyren Williams,,0,RB,RB1,9600,LAR,vs NYG,29,26.75,8.7,15.8,15.5,16.88,16.88,0,3.83,34.28,16.88,16.88,100,100,25%,46,1.8
Cam Skattebo,,0,RB,RB1,9400,NYG,@ LAR,6,20.25,7.6,16.1,14.1,15.78,15.78,0,4.38,30.98,15.78,15.78,100,100,40%,52,1.7
Malik Nabers,,0,WR,WR1,9000,NYG,@ LAR,18,20.25,10.3,15,12.9,15.39,15.39,0,0,35.99,15.39,15.39,100,100,45%,42,1.7
Colby Parkinson,,0,TE,TE1,3600,LAR,vs NYG,24,26.75,5,9.3,1.6,11.24,11.24,0,3.74,21.24,11.24,11.24,100,100,10%,6,3.1
Tyler Higbee,,0,TE,TE2,2800,LAR,vs NYG,24,26.75,6.4,7.9,2.2,9.83,9.83,0,0.23,22.63,9.83,9.83,100,100,35%,15,3.5
Isaiah Likely,,0,TE,TE1,7400,NYG,@ LAR,18,20.25,6.9,5.7,27.8,9.54,9.54,0,0,23.34,9.54,9.54,100,100,,10,1.3
Theo Johnson,,0,TE,TE2,2400,NYG,@ LAR,18,20.25,5.1,8.5,1.9,9.19,9.19,0,1.54,19.39,9.19,9.19,100,100,85%,33,3.8
Najee Harris,,0,RB,RB2,2000,NYG,@ LAR,6,20.25,7.3,3.9,0,7.52,7.52,0,0,22.12,7.52,7.52,100,100,70%,47,3.8
Rams,,0,DST,DST1,4200,LAR,vs NYG,22,20.25,5.9,8.2,2,7.23,7.23,0,0,19.03,7.23,7.23,100,100,,21,1.7
Darnell Mooney,,0,WR,WR3,3800,NYG,@ LAR,18,20.25,6.9,5.5,4.7,7.05,7.05,0,0,20.85,7.05,7.05,100,100,,27,1.9
Malachi Fields,,0,WR,WR2,5600,NYG,@ LAR,18,20.25,0,0,4.5,6.89,6.89,0,6.89,6.89,6.89,6.89,100,100,,0,1.2
Blake Corum,,0,RB,RB2,4600,LAR,vs NYG,29,26.75,5.6,7.4,5.4,6.36,6.36,0,0,17.56,6.36,6.36,100,100,,0,1.4
Giants,,0,DST,DST1,3200,NYG,@ LAR,1,26.75,5.9,4.6,3,5.36,5.36,0,0,17.16,5.36,5.36,100,100,,3,1.7
Xavier Smith,,0,WR,WR3,200,LAR,vs NYG,24,26.75,3,3,0,4.92,4.92,0,0.42,10.92,4.92,4.92,100,100,,0,24.6
Tutu Atwell,,0,WR,WR4,800,LAR,vs NYG,24,26.75,5.3,3.9,0,4.38,4.38,0,0,14.98,4.38,4.38,100,100,,4,5.5
Konata Mumpfield,,0,WR,WR2,1000,LAR,vs NYG,24,26.75,2.7,2.5,0,2.52,2.52,0,0,7.92,2.52,2.52,100,100,,0,2.5
Jameis Winston,,0,QB,QB2,6000,NYG,@ LAR,20,20.25,9.8,16.4,0,0,0,0,0,0,0,0,100,100,,43,0
Stetson Bennett IV,,0,QB,QB2,6000,LAR,vs NYG,16,26.75,,,,0,0,0,0,,0,0,100,100,,0,0
Harrison Mevis,,0,K,K1,5000,LAR,vs NYG,27,26.75,4.7,9.1,1,0,0,0,0,0,0,0,100,100,,43,0
Dominic Zvada,,0,K,K1,4800,NYG,@ LAR,3,20.25,0,0,4,0,0,0,0,0,0,0,100,100,,0,0
Tyrone Tracy Jr.,,0,RB,RB4,3400,NYG,@ LAR,6,20.25,,,,0,0,0,0,,0,0,100,100,,0,0
Devin Singletary,,0,RB,RB3,3000,NYG,@ LAR,6,20.25,6.6,6.4,13.8,0,0,0,0,0,0,0,100,100,,33,0
Terrance Ferguson,,0,TE,TE3,1800,LAR,vs NYG,24,26.75,4.9,4.7,0,0,0,0,0,0,0,0,100,100,,0,0
Davis Allen,,0,TE,TE4,1600,LAR,vs NYG,24,26.75,3.7,4.2,2.3,0,0,0,0,0,0,0,100,100,,0,0
Ronnie Rivers,,0,RB,RB3,1400,LAR,vs NYG,29,26.75,3,0.8,3.4,0,0,0,0,0,0,0,100,100,,0,0
Odell Beckham Jr.,,0,WR,WR4,1200,NYG,@ LAR,18,20.25,10.2,0,0,0,0,0,0,0,0,0,100,100,,29,0
Chris Manhertz,,0,TE,TE3,600,NYG,@ LAR,18,20.25,2.4,0.6,0,0,0,0,0,0,0,0,100,100,,0,0
Patrick Ricard,,0,RB,FB1,400,NYG,@ LAR,6,20.25,2.2,0.5,0,0,0,0,0,0,0,0,100,100,,0,0
Max Klare,,0,TE,TE5,200,LAR,vs NYG,24,26.75,,,,0,0,0,0,,0,0,100,100,,0,0
Braxton Berrios,,0,WR,WR5,200,NYG,@ LAR,18,20.25,5.3,2.4,0,0,0,0,0,0,0,0,100,100,,0,0
