,,,,,,,,,,,,,,,,,,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2025 Avg,2026 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value
Jonathan Taylor,,0,RB,RB1,7500,IND,@ KC,5,20.25,11,22.3,26.1,20.5,20.5,0,4,42.5,20.5,20.5,100,,44,2.7
Patrick Mahomes,,0,QB,QB1,5500,KC,vs IND,15,25.75,8.3,21.6,22.7,20.26,20.26,0,7.81,36.86,20.26,20.26,100,,65,3.7
Rashee Rice,,0,WR,WR1,6400,KC,vs IND,14,25.75,8,19.1,9.9,16.75,16.75,0,4.75,32.75,16.75,16.75,100,,49,2.6
Daniel Jones,,0,QB,QB1,5200,IND,@ KC,18,20.25,8.6,18.7,10,15.98,15.98,0,3.08,33.18,15.98,15.98,100,,49,3.1
Kenneth Walker III,,0,RB,RB1,6500,KC,vs IND,21,25.75,8.3,11.6,37.1,15.82,15.82,0,3.37,32.42,15.82,15.82,100,,42,2.4
Travis Kelce,,0,TE,TE1,4200,KC,vs IND,14,25.75,8.9,11.4,10.1,12.62,12.62,0,0,30.42,12.62,12.62,100,,45,3
Alec Pierce,,0,WR,WR1,5600,IND,@ KC,16,20.25,7.7,12.6,10.1,11.9,11.9,0,0.35,27.3,11.9,11.9,100,,13,2.1
Keenan Allen,,0,WR,WR3,4600,IND,@ KC,16,20.25,9.9,10.9,9.2,11.15,11.15,0,0,30.95,11.15,11.15,100,,41,2.4
Tyler Warren,,0,TE,TE1,5200,IND,@ KC,16,20.25,4.6,11.1,10.3,10.15,10.15,0,3.25,19.35,10.15,10.15,100,,58,2
Josh Downs,,0,WR,WR2,5400,IND,@ KC,16,20.25,6.1,8.6,5.7,8.97,8.97,0,0,21.17,8.97,8.97,100,,40,1.7
Emmett Johnson,,0,RB,RB2,4500,KC,vs IND,21,25.75,0,0,8.8,8.54,8.54,0,8.54,8.54,8.54,8.54,100,,0,1.9
Xavier Worthy,,0,WR,WR2,4500,KC,vs IND,14,25.75,6.2,7.9,4.8,7.68,7.68,0,0,20.08,7.68,7.68,100,,36,1.7
Chiefs,,0,DST,DST1,3200,KC,vs IND,14,20.25,6.4,5.2,12,4.36,4.36,0,0,17.16,4.36,4.36,100,,19,1.4
Noah Gray,,0,TE,TE2,3200,KC,vs IND,14,25.75,3.9,3,1.5,4.14,4.14,0,0,11.94,4.14,4.14,100,,11,1.3
Mo Alie-Cox,,0,TE,TE2,2500,IND,@ KC,16,20.25,4.6,2.8,0,3.6,3.6,0,0,12.8,3.6,3.6,100,,0,1.4
Colts,,0,DST,DST1,2300,IND,@ KC,27,25.75,5.6,5.8,0,3.59,3.59,0,0,14.79,3.59,3.59,100,,19,1.6
Tyquan Thornton,,0,WR,WR3,3400,KC,vs IND,14,25.75,5,6.7,0,3.05,3.05,0,0,13.05,3.05,3.05,100,,0,0.9
Cyrus Allen,,0,WR,WR4,3900,KC,vs IND,14,25.75,0,0,0,1.89,1.89,0,1.89,1.89,1.89,1.89,100,,0,0.5
Laquon Treadwell,,0,WR,WR4,3000,IND,@ KC,16,20.25,3.9,0,0,0.17,0.17,0,0,7.97,0.17,0.17,100,,0,0.1
Justin Fields,,0,QB,QB2,4500,KC,vs IND,15,25.75,10.5,16.3,0,0,0,0,0,0,0,0,100,,37,0
Seth McGowan,,0,RB,RB2,4300,IND,@ KC,5,20.25,0,0,1,0,0,0,0,0,0,0,100,,0,0
Anthony Richardson Sr.,,0,QB,QB2,4000,IND,@ KC,18,20.25,,,,0,0,0,0,,0,0,100,,0,0
Riley Leonard,,0,QB,QB3,4000,IND,@ KC,18,20.25,9.5,6.8,0,0,0,0,0,0,0,0,100,,0,0
Garrett Nussmeier,,0,QB,QB3,4000,KC,vs IND,15,25.75,,,,0,0,0,0,,0,0,100,,0,0
DJ Giddens,!,0,RB,RB3,4000,IND,@ KC,5,20.25,1.6,1.9,0,0,0,0,0,0,0,0,100,,16,0
Brashard Smith,,0,RB,RB3,4000,KC,vs IND,21,25.75,3.9,3.7,0,0,0,0,0,0,0,0,100,,0,0
Ben VanSumeren,,0,RB,FB1,4000,KC,vs IND,21,25.75,0,0,0,0,0,0,0,0,0,0,100,,0,0
Jalen Royals,,0,WR,WR5,3200,KC,vs IND,14,25.75,1.1,1.2,0,0,0,0,0,0,0,0,100,,0,0
Deion Burks,,0,WR,WR5,3200,IND,@ KC,16,20.25,,,,0,0,0,0,,0,0,100,,0,0
Nikko Remigio,,0,WR,WR6,3000,KC,vs IND,14,25.75,1.6,0.3,0,0,0,0,0,0,0,0,100,,0,0
Anthony Gould,,0,WR,WR6,3000,IND,@ KC,16,20.25,0.8,0.2,0,0,0,0,0,0,0,0,100,,0,0
Jared Wiley,,0,TE,TE4,2500,KC,vs IND,14,25.75,0.7,0.7,0,0,0,0,0,0,0,0,100,,30,0
Jake Briningstool,,0,TE,TE3,2500,KC,vs IND,14,25.75,0,0,1.9,0,0,0,0,0,0,0,100,,0,0
Andrew Ogletree,,0,TE,TE3,2500,IND,@ KC,16,20.25,3.3,1.2,0,0,0,0,0,0,0,0,100,,0,0
