,,,,,,,,,,,,,,,,,,,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2025 Avg,2026 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,EXP+,Used,Con.,Value
Jaxson Dart,,0,CPTN,QB1,14700,NYG,@ LAR,20,20.5,9.8,17.8,26.6,36.83,36.83,0,22.13,56.43,36.83,36.83,100,100,,46,2.5
Puka Nacua,!,0,CPTN,WR1,17100,LAR,vs NYG,24,27,10.7,24.6,12.4,30.11,30.11,0,14.06,51.51,30.11,30.11,100,100,,49,1.8
Matthew Stafford,,0,CPTN,QB1,15000,LAR,vs NYG,16,27,7.2,22,5.1,27.62,27.62,0,16.82,42.02,27.62,27.62,100,100,,61,1.8
Jaxson Dart,,0,QB,QB1,9800,NYG,@ LAR,20,20.5,9.8,17.8,26.6,24.55,24.55,0,9.85,44.15,24.55,24.55,100,100,,46,2.5
Cam Skattebo,,0,CPTN,RB1,14100,NYG,@ LAR,6,20.5,7.6,16.1,14.1,23.75,23.75,0,12.35,38.95,23.75,23.75,100,100,,52,1.7
Davante Adams,,0,CPTN,WR2,13200,LAR,vs NYG,24,27,10.9,16.1,5.6,23.63,23.63,0,7.28,45.43,23.63,23.63,100,100,,42,1.8
Kyren Williams,,0,CPTN,RB1,14400,LAR,vs NYG,29,27,8.7,15.8,15.5,23.39,23.39,0,10.34,40.79,23.39,23.39,100,100,,46,1.6
Malik Nabers,,0,CPTN,WR1,13500,NYG,@ LAR,18,20.5,10.3,15,12.9,23.21,23.21,0,7.76,43.81,23.21,23.21,100,100,,42,1.7
Puka Nacua,!,0,WR,WR1,11400,LAR,vs NYG,24,27,10.7,24.6,12.4,20.07,20.07,0,4.02,41.47,20.07,20.07,100,100,,49,1.8
Matthew Stafford,,0,QB,QB1,10000,LAR,vs NYG,16,27,7.2,22,5.1,18.41,18.41,0,7.61,32.81,18.41,18.41,100,100,,61,1.8
Cam Skattebo,,0,RB,RB1,9400,NYG,@ LAR,6,20.5,7.6,16.1,14.1,15.83,15.83,0,4.43,31.03,15.83,15.83,100,100,,52,1.7
Davante Adams,,0,WR,WR2,8800,LAR,vs NYG,24,27,10.9,16.1,5.6,15.75,15.75,0,0,37.55,15.75,15.75,100,100,,42,1.8
Kyren Williams,,0,RB,RB1,9600,LAR,vs NYG,29,27,8.7,15.8,15.5,15.59,15.59,0,2.54,32.99,15.59,15.59,100,100,,46,1.6
Malik Nabers,,0,WR,WR1,9000,NYG,@ LAR,18,20.5,10.3,15,12.9,15.47,15.47,0,0.02,36.07,15.47,15.47,100,100,,42,1.7
Isaiah Likely,,0,CPTN,TE1,11100,NYG,@ LAR,18,20.5,6.9,5.7,27.8,14.37,14.37,0,4.02,28.17,14.37,14.37,100,100,,10,1.3
Theo Johnson,,0,CPTN,TE2,3600,NYG,@ LAR,18,20.5,5.1,8.5,1.9,13.82,13.82,0,6.17,24.02,13.82,13.82,100,100,,33,3.8
Colby Parkinson,,0,CPTN,TE1,5400,LAR,vs NYG,24,27,5,9.3,1.6,12.87,12.87,0,5.37,22.87,12.87,12.87,100,100,,6,2.4
Najee Harris,,0,CPTN,RB2,3000,NYG,@ LAR,6,20.5,7.3,3.9,0,11.4,11.4,0,0.45,26,11.4,11.4,100,100,,47,3.8
Tyler Higbee,,0,CPTN,TE2,4200,LAR,vs NYG,24,27,6.4,7.9,2.2,11.21,11.21,0,1.61,24.01,11.21,11.21,100,100,,15,2.7
Rams,,0,CPTN,DST1,6300,LAR,vs NYG,22,27,5.9,8.2,2,10.8,10.8,0,1.95,22.6,10.8,10.8,100,100,,21,1.7
Darnell Mooney,,0,CPTN,WR3,5700,NYG,@ LAR,18,20.5,6.9,5.5,4.7,10.64,10.64,0,0.29,24.44,10.64,10.64,100,100,,27,1.9
Malachi Fields,,0,CPTN,WR2,8400,NYG,@ LAR,18,20.5,0,0,4.5,10.46,10.46,0,10.46,10.46,10.46,10.46,100,100,,0,1.2
Blake Corum,,0,CPTN,RB2,6900,LAR,vs NYG,29,27,5.6,7.4,5.4,9.66,9.66,0,1.26,20.86,9.66,9.66,100,100,,0,1.4
Isaiah Likely,,0,TE,TE1,7400,NYG,@ LAR,18,20.5,6.9,5.7,27.8,9.58,9.58,0,0,23.38,9.58,9.58,100,100,,10,1.3
