Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2025 Avg,2026 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,EXP+,Used,Con.,Value
Bijan Robinson,,0,CPTN,RB1,17700,ATL,@ GB,13,19.25,9.5,23.2,21.2,33.47,33.47,0,19.22,52.47,33.47,33.47,100,100,,52,1.9
Christian Watson,,0,CPTN,WR1,14700,GB,vs ATL,2,23.75,9,13.5,24.9,27,27,0,13.5,45,27,27,100,100,,23,1.8
Jordan Love,,0,CPTN,QB1,15000,GB,vs ATL,29,23.75,8.5,16.6,19.1,24.96,24.96,0,12.21,41.96,24.96,24.96,100,100,,45,1.7
Michael Penix Jr.,,0,CPTN,QB1,13500,ATL,@ GB,10,19.25,,,,23.21,23.21,0,0,,23.21,23.21,100,100,,0,1.7
Drake London,,0,CPTN,WR1,13200,ATL,@ GB,12,19.25,9.5,18.2,7.2,22.46,22.46,0,8.21,41.46,22.46,22.46,100,100,,32,1.7
Bijan Robinson,,0,RB,RB1,11800,ATL,@ GB,13,19.25,9.5,23.2,21.2,22.31,22.31,0,8.06,41.31,22.31,22.31,100,100,,52,1.9
Tucker Kraft,,0,CPTN,TE1,10500,GB,vs ATL,2,23.75,7.6,15.4,6.5,21.38,21.38,0,9.98,36.58,21.38,21.38,100,100,,17,2
Christian Watson,,0,WR,WR1,9800,GB,vs ATL,2,23.75,9,13.5,24.9,18,18,0,4.5,36,18,18,100,100,,23,1.8
Jordan Love,,0,QB,QB1,10000,GB,vs ATL,29,23.75,8.5,16.6,19.1,16.64,16.64,0,3.89,33.64,16.64,16.64,100,100,,45,1.7
Michael Penix Jr.,,0,QB,QB1,9000,ATL,@ GB,10,19.25,,,,15.47,15.47,0,0,,15.47,15.47,100,100,,0,1.7
Drake London,,0,WR,WR1,8800,ATL,@ GB,12,19.25,9.5,18.2,7.2,14.97,14.97,0,0.72,33.97,14.97,14.97,100,100,,32,1.7
Tucker Kraft,,0,TE,TE1,7000,GB,vs ATL,2,23.75,7.6,15.4,6.5,14.25,14.25,0,2.85,29.45,14.25,14.25,100,100,,17,2
MarShawn Lloyd,,0,CPTN,RB1,11100,GB,vs ATL,20,23.75,3,0,6.7,13.08,13.08,0,8.58,19.08,13.08,13.08,100,100,,44,1.2
Trey Smack,,0,CPTN,K1,7800,GB,vs ATL,29,23.75,2.5,0,10.5,12.23,12.23,0,8.48,17.23,12.23,12.23,100,100,,0,1.6
Kyle Pitts Sr.,,0,CPTN,TE1,9900,ATL,@ GB,12,19.25,,,,11.75,11.75,0,0,,11.75,11.75,100,100,,0,1.2
Matthew Golden,,0,CPTN,WR2,11700,GB,vs ATL,2,23.75,4.7,5,12.7,10.65,10.65,0,3.6,20.05,10.65,10.65,100,100,,22,0.9
Nick Folk,,0,CPTN,K1,7200,ATL,@ GB,14,19.25,4.5,7.9,7,9.75,9.75,0,3,18.75,9.75,9.75,100,100,,43,1.4
Olamide Zaccheaus,,0,CPTN,WR3,3000,ATL,@ GB,12,19.25,5.6,6.1,1.4,9.62,9.62,0,1.22,20.82,9.62,9.62,100,100,,5,3.2
Falcons,,0,CPTN,DST1,5100,ATL,@ GB,17,19.25,5.8,7.3,3,8.93,8.93,0,0.23,20.53,8.93,8.93,100,100,,0,1.8
Jonnu Smith,,0,CPTN,TE2,4200,GB,vs ATL,2,23.75,6.3,5,7,8.73,8.73,0,0,21.33,8.73,8.73,100,100,,10,2.1
MarShawn Lloyd,,0,RB,RB1,7400,GB,vs ATL,20,23.75,3,0,6.7,8.72,8.72,0,4.22,14.72,8.72,8.72,100,100,,44,1.2
Trey Smack,,0,K,K1,5200,GB,vs ATL,29,23.75,2.5,0,10.5,8.15,8.15,0,4.4,13.15,8.15,8.15,100,100,,0,1.6
Kyle Pitts Sr.,,0,TE,TE1,6600,ATL,@ GB,12,19.25,,,,7.83,7.83,0,0,,7.83,7.83,100,100,,0,1.2
Packers,,0,CPTN,DST1,7500,GB,vs ATL,21,23.75,5.3,4.6,3,7.34,7.34,0,0,17.94,7.34,7.34,100,100,,18,1
