market,selection,points,is_main,over,under,price,ts_utc,age_min,flag,over_id,under_id,price_id,player_id,team_id
moneyline,Los Angeles Rams,,True,,,-300,2026-09-21T22:24:49+00:00,55.3,,,,78014-37430-26-38:hard_rock:moneyline:los_angeles_rams,,13AD4FDBEBA8
moneyline,New York Giants,,True,,,250,2026-09-21T22:24:49+00:00,55.3,,,,78014-37430-26-38:hard_rock:moneyline:new_york_giants,,ACC49FC634EE
player_field_goals_made,Harrison Mevis,1.5,True,-145,110,,2026-09-21T22:24:49+00:00,55.3,,78014-37430-26-38:hard_rock:player_field_goals_made:harrison_mevis_over_1_5,78014-37430-26-38:hard_rock:player_field_goals_made:harrison_mevis_under_1_5,,EFB2783B669B,
player_interceptions,Jaxson Dart,0.5,True,110,-140,,2026-09-21T22:24:49+00:00,55.3,,78014-37430-26-38:hard_rock:player_interceptions:jaxson_dart_over_0_5,78014-37430-26-38:hard_rock:player_interceptions:jaxson_dart_under_0_5,,4C8EBE787A8D7560,
player_interceptions,Matthew Stafford,0.5,True,125,-160,,2026-09-21T22:24:49+00:00,55.3,,78014-37430-26-38:hard_rock:player_interceptions:matthew_stafford_over_0_5,78014-37430-26-38:hard_rock:player_interceptions:matthew_stafford_under_0_5,,DD2E6E11452C,
player_kicking_points,Dominic Zvada,6.5,True,-105,,,2026-09-21T22:44:44+00:00,35.4,,78014-37430-26-38:hard_rock:player_kicking_points:dominic_zvada_over_6_5,,,9980ED6481F23092,
player_kicking_points,Harrison Mevis,7.5,True,-140,,,2026-09-21T22:24:49+00:00,55.3,,78014-37430-26-38:hard_rock:player_kicking_points:harrison_mevis_over_7_5,,,EFB2783B669B,
player_longest_passing_completion,Jaxson Dart,34.5,True,-115,-115,,2026-09-21T22:24:49+00:00,55.3,,78014-37430-26-38:hard_rock:player_longest_passing_completion:jaxson_dart_over_34_5,78014-37430-26-38:hard_rock:player_longest_passing_completion:jaxson_dart_under_34_5,,4C8EBE787A8D7560,
player_longest_passing_completion,Matthew Stafford,38.5,True,-110,-120,,2026-09-21T22:46:29+00:00,33.6,,78014-37430-26-38:hard_rock:player_longest_passing_completion:matthew_stafford_over_38_5,78014-37430-26-38:hard_rock:player_longest_passing_completion:matthew_stafford_under_38_5,,DD2E6E11452C,
player_longest_reception,Cam Skattebo,8.5,True,-105,-125,,2026-09-21T22:24:49+00:00,55.3,,78014-37430-26-38:hard_rock:player_longest_reception:cam_skattebo_over_8_5,78014-37430-26-38:hard_rock:player_longest_reception:cam_skattebo_under_8_5,,5BE524D2DCC75E68,
player_longest_reception,Colby Parkinson,14.5,True,-120,-110,,2026-09-21T22:54:14+00:00,25.9,,78014-37430-26-38:hard_rock:player_longest_reception:colby_parkinson_over_14_5,78014-37430-26-38:hard_rock:player_longest_reception:colby_parkinson_under_14_5,,570514936B0A,
player_longest_reception,Darnell Mooney,13.5,True,-115,-115,,2026-09-21T22:24:49+00:00,55.3,,78014-37430-26-38:hard_rock:player_longest_reception:darnell_mooney_over_13_5,78014-37430-26-38:hard_rock:player_longest_reception:darnell_mooney_under_13_5,,92C83622BC0E,
player_longest_reception,Davante Adams,23.5,True,-115,-115,,2026-09-21T23:01:59+00:00,18.1,,78014-37430-26-38:hard_rock:player_longest_reception:davante_adams_over_23_5,78014-37430-26-38:hard_rock:player_longest_reception:davante_adams_under_23_5,,616DA87E3731,
player_longest_reception,Isaiah Likely,18.5,True,-110,-120,,2026-09-21T22:24:49+00:00,55.3,,78014-37430-26-38:hard_rock:player_longest_reception:isaiah_likely_over_18_5,78014-37430-26-38:hard_rock:player_longest_reception:isaiah_likely_under_18_5,,52ED3346AB9C,
player_longest_reception,Konata Mumpfield,11.5,True,-115,-115,,2026-09-21T22:55:15+00:00,24.9,,78014-37430-26-38:hard_rock:player_longest_reception:konata_mumpfield_over_11_5,78014-37430-26-38:hard_rock:player_longest_reception:konata_mumpfield_under_11_5,,08365AC19CE59ADA,
