game_id,team,player,metric,market_line,sportsbook,over_price,under_price,market_probability_over_no_vig,market_probability_under_no_vig,market_hold,no_vig_available,model_probability_over_market_line,model_minus_market_probability,model_minus_market_label,abs_probability_disagreement,line_minus_mean_native_units,line_minus_mean_in_model_sds,line_percentile_in_model_distribution,model_mean,model_sd,correlation_group,RANKING_ELIGIBLE,ranking_ineligible_reasons,market_timestamp,forecast_written_at
2026_01_SF_LA,LA,Matthew Stafford,qb/att,34.5,DraftKings,-101,-127,0.4732,0.5268,0.062,True,0.316,-0.1572,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1572,4.234,0.3915,0.684,30.27,10.8156,00-0026498:qb_volume,False,"[""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,LA,Matthew Stafford,qb/pyds,260.0,DraftKings,-111,-112,0.4989,0.5011,0.0544,True,0.317,-0.1819,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1819,41.6947,0.4518,0.681,218.31,92.2958,00-0026498:qb_volume,False,"[""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,SF,Brock Purdy,qb/att,33.5,DraftKings,-112,-113,0.499,0.501,0.0588,True,0.264,-0.235,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.235,6.792,0.6329,0.736,26.71,10.7319,00-0037834:qb_volume,False,"[""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,SF,Brock Purdy,qb/pyds,238.5,FanDuel,-113,-113,0.5,0.5,0.061,True,0.355,-0.145,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.145,35.3943,0.3669,0.645,203.11,96.4812,00-0037834:qb_volume,False,"[""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,SF,Christian McCaffrey,receiving/receiving_yards,39.5,DraftKings,-111,-113,0.4979,0.5021,0.0566,True,0.156,-0.3419,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.3419,17.64,0.9192,0.844,21.86,19.1908,00-0033280:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,SF,Christian McCaffrey,receiving/receptions,4.5,DraftKings,-136,107,0.544,0.456,0.0594,True,0.133,-0.411,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.411,1.944,1.1006,0.867,2.56,1.7663,00-0033280:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,SF,Christian McCaffrey,rushing/carries,15.5,DraftKings,-129,101,0.531,0.469,0.0608,True,0.033,-0.498,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.498,8.2084,2.2862,0.967,7.29,3.5904,00-0033280:carry_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,LA,Kyren Williams,receiving/receptions,1.5,DraftKings,-141,110,0.5513,0.4487,0.0613,True,0.297,-0.2543,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.2543,0.444,0.3369,0.703,1.06,1.3178,00-0037840:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,LA,Kyren Williams,rushing/carries,13.5,DraftKings,-105,-121,0.4833,0.5167,0.0597,True,0.033,-0.4503,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.4503,6.8235,1.9404,0.967,6.68,3.5164,00-0037840:carry_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,LA,Puka Nacua,receiving/receiving_yards,90.5,FanDuel,-113,-113,0.5,0.5,0.061,True,0.124,-0.376,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.376,43.546,1.202,0.876,46.95,36.2272,00-0039075:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,LA,Puka Nacua,receiving/receptions,7.5,DraftKings,116,-148,0.4369,0.5631,0.0597,True,0.053,-0.3839,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.3839,3.936,1.7193,0.947,3.56,2.2894,00-0039075:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,SF,George Kittle,receiving/receiving_yards,33.5,DraftKings,-114,-110,0.5042,0.4958,0.0565,True,0.397,-0.1072,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1072,1.572,0.0542,0.603,31.93,28.9967,00-0033288:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
2026_01_SF_LA,SF,George Kittle,receiving/receptions,3.5,DraftKings,114,-146,0.4405,0.5595,0.0608,True,0.253,-0.1875,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1875,1.065,0.5763,0.747,2.44,1.848,00-0033288:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:25:50Z
