player,gsis_id,team,opponent,position,salary,injury_status,practice_status,availability,offensive_depth,special_teams,role,role_support,proj_snap_share,proj_carries,proj_targets,proj_receptions,proj_pass_yards,proj_rush_yards,proj_rec_yards,proj_pass_td,proj_rush_td,proj_rec_td,td_expectation,dk_mean,dk_floor_p10,dk_median,dk_ceiling_p90,dk_p95,dk_sd,p_zero,value_per_1k,current_season_avg,previous_season_avg,evidence_grade,uncertainty,opportunity_basis,review_verdict,conflict_codes,dk_delta,carries_delta,targets_delta,change_cause,change_evidence
Jaxson Dart,00-0040691,NYG,LA,dropbacks,5800.0,,,ACTIVE,1,,STARTER,ROLE_SUPPORTED,1.0,,,,167.509,,,1.0217,,,1.0217,16.4588,4.9,15.54,29.04,33.4,9.5438,0.0424,2.8377,11.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED,,0.0698,,,,
Davante Adams,00-0031381,LA,NYG,targets,5900.0,,Full Participation in Practice,ACTIVE,2,,STARTER,ROLE_SUPPORTED,0.54,,8.0894,5.1405,,,65.2807,,,0.388,0.388,14.6454,2.6,12.6,29.3,34.6,10.5618,0.0614,2.4823,6.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,0.5171,,0.2333,,
Matthew Stafford,00-0026498,LA,NYG,dropbacks,6000.0,,,ACTIVE,1,,STARTER,ROLE_SUPPORTED,0.84,,,,206.2995,,,1.298,,,1.298,13.6242,4.52,12.74,24.08,27.7557,7.7976,0.0455,2.2707,2.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED,,-0.0706,,,,
Kyren Williams,00-0037840,LA,NYG,carries,6400.0,,,ACTIVE,1,PR2,STARTER,ROLE_SUPPORTED,0.64,11.7064,3.2396,2.4118,,50.5306,16.1085,,0.376,0.0963,0.4723,12.1934,2.6,10.9,23.2,27.4,8.2129,0.0658,1.9052,14.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,0.2537,-0.4955,0.4065,,
Malik Nabers,00-0039337,NYG,LA,targets,6500.0,,,ACTIVE,1,,PRIMARY_ROTATION,ROLE_SUPPORTED,0.52,,5.4379,3.3889,,,39.8995,,,0.263,0.263,9.383,0.0,7.8,20.2,24.7,7.8916,0.1103,1.4435,9.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,0.3509,,0.2083,,
Colby Parkinson,00-0036244,LA,NYG,targets,3100.0,,,ACTIVE,1,,STARTER,ROLE_SUPPORTED,0.77,,4.6418,3.3171,,,33.409,,,0.2492,0.2492,8.2405,0.0,6.6,17.6,21.8,7.1361,0.1019,2.6582,2.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,-0.9488,,-0.5213,,
Tyrone Tracy Jr.,00-0039384,NYG,LA,carries,4400.0,,,ACTIVE,4,KR2,BACKUP,ROLE_SUPPORTED,0.03,6.6281,2.0455,1.5094,,28.228,11.6291,,0.2082,0.0586,0.2668,7.15,1.0,5.8,14.61,18.0,5.669,0.0626,1.625,2.0,,MEASURED,EVIDENCE_SUFFICIENT,,BLOCKING_REVIEW,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY;ROOM_OPPORTUNITY_ORDER_INVERTS_ROLE_ORDER,-1.9953,-1.4658,-0.6835,MODEL_UPDATE,DK moved -2.00 and nothing on this row changed; the engine did: V1_CANDIDATE_R9_W1P_GSVUCY -> V1_CANDIDATE_R9_W1P_GSVUCYS
Cam Skattebo,00-0040715,NYG,LA,carries,5900.0,,,ACTIVE,1,,STARTER,ROLE_SUPPORTED,0.61,7.2142,1.6515,1.2637,,30.9752,10.5008,,0.2245,0.047,0.2715,7.1154,0.3,5.8,15.2,18.5,5.8747,0.0946,1.206,18.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,-0.2543,1.0698,-0.6411,,
Blake Corum,00-0039738,LA,NYG,carries,4900.0,,,ACTIVE,2,KR4,SECONDARY_ROTATION,ROLE_SUPPORTED,0.23,7.9218,1.182,0.8315,,34.3699,5.2764,,0.2439,0.0288,0.2727,6.5575,0.0,4.9,14.9,18.5,6.179,0.1286,1.3383,10.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,0.4976,0.4141,0.1779,,
Isaiah Likely,00-0037838,NYG,LA,targets,4500.0,,,ACTIVE,1,,PRIMARY_ROTATION,ROLE_SUPPORTED,0.49,,3.0859,2.1546,,,24.6046,,,0.1679,0.1679,5.6684,0.0,4.1,13.2,16.705,5.595,0.1839,1.2596,8.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,1.6847,,0.9081,MODEL_UPDATE,DK moved +1.68 and nothing on this row changed; the engine did: V1_CANDIDATE_R9_W1P_GSVUCY -> V1_CANDIDATE_R9_W1P_GSVUCYS
