game_id,team,player,metric,market_line,sportsbook,over_price,under_price,market_probability_over_no_vig,market_probability_under_no_vig,market_hold,no_vig_available,model_probability_over_market_line,model_minus_market_probability,model_minus_market_label,abs_probability_disagreement,line_minus_mean_native_units,line_minus_mean_in_model_sds,line_percentile_in_model_distribution,model_mean,model_sd,correlation_group,RANKING_ELIGIBLE,ranking_ineligible_reasons,market_timestamp,forecast_written_at,candidate,cutoff,namespace,source_freshness,promoted
2026_01_SF_LA,SF,Christian McCaffrey,receiving/receiving_yards,39.5,DraftKings,-111,-113,0.4979,0.5021,0.0566,True,0.371,-0.1269,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1269,4.661,0.1794,0.629,34.84,25.9837,00-0033280:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,R8,post_inactives,research,12.46,False
2026_01_SF_LA,SF,Christian McCaffrey,receiving/receptions,4.5,DraftKings,-136,107,0.544,0.456,0.0594,True,0.371,-0.173,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.173,0.586,0.24,0.629,3.91,2.4414,00-0033280:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,R8,post_inactives,research,12.46,False
2026_01_SF_LA,SF,Christian McCaffrey,rushing/carries,15.5,DraftKings,-129,101,0.531,0.469,0.0608,True,0.352,-0.179,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.179,1.8597,0.2938,0.648,13.64,6.329,00-0033280:carry_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,R8,post_inactives,research,12.46,False
2026_01_SF_LA,LA,Kyren Williams,receiving/receptions,1.5,DraftKings,-141,110,0.5513,0.4487,0.0613,True,0.452,-0.0993,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.0993,-0.17,-0.0943,0.548,1.67,1.8034,00-0037840:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,R8,post_inactives,research,12.46,False
2026_01_SF_LA,LA,Kyren Williams,rushing/carries,13.5,DraftKings,-105,-121,0.4833,0.5167,0.0597,True,0.286,-0.1973,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1973,2.6579,0.4284,0.7135,10.84,6.2047,00-0037840:carry_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,R8,post_inactives,research,12.46,False
2026_01_SF_LA,LA,Puka Nacua,receiving/receiving_yards,90.5,FanDuel,-113,-113,0.5,0.5,0.061,True,0.297,-0.203,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.203,19.497,0.3898,0.703,71.0,50.0149,00-0039075:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,R8,post_inactives,research,12.46,False
2026_01_SF_LA,LA,Puka Nacua,receiving/receptions,7.5,DraftKings,116,-148,0.4369,0.5631,0.0597,True,0.259,-0.1779,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1779,2.058,0.6061,0.741,5.44,3.3953,00-0039075:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,R8,post_inactives,research,12.46,False
2026_01_SF_LA,SF,George Kittle,receiving/receiving_yards,33.5,DraftKings,-114,-110,0.5042,0.4958,0.0565,True,0.649,0.1448,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1448,-20.028,-0.4953,0.351,53.53,40.4323,00-0033288:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,R8,post_inactives,research,12.46,False
2026_01_SF_LA,SF,George Kittle,receiving/receptions,3.5,DraftKings,114,-146,0.4405,0.5595,0.0608,True,0.56,0.1195,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1195,-0.595,-0.2232,0.44,4.09,2.6659,00-0033288:target_volume,True,,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,R8,post_inactives,research,12.46,False
2026_01_SF_LA,SF,Christian McCaffrey,receiving/receiving_yards,39.5,DraftKings,-111,-113,0.4979,0.5021,0.0566,True,0.34,-0.1579,"MODEL-MARKET DISAGREEMENT, NOT PROVEN EV",0.1579,6.559,0.2657,0.66,32.94,24.6895,00-0033280:target_volume,True,,2026-09-10T23:58:21Z,2026-09-10T21:18:56Z,R8,pre_inactives,research,55.48,False
