Entry ID,Contest Name,Contest ID,Entry Fee,CPT,FLEX,FLEX,FLEX,FLEX,FLEX
5259382684,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Khalil Shakir (44138440),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402795,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Josh Allen (44138479),Jahmyr Gibbs (44138432),Amon-Ra St. Brown (44138434),Jared Goff (44138435),Frank Gore Jr. (44138464),Keleki Latu (44138475)
5259402796,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Amon-Ra St. Brown (44138480),Jahmyr Gibbs (44138432),Josh Allen (44138433),Jared Goff (44138435),Jackson Hawes (44138463),Frank Gore Jr. (44138464)
5259402797,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jared Goff (44138481),Jahmyr Gibbs (44138432),Josh Allen (44138433),Khalil Shakir (44138440),Sam LaPorta (44138445),Frank Gore Jr. (44138464)
5259402798,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jameson Williams (44138484),Jahmyr Gibbs (44138432),Josh Allen (44138433),Jared Goff (44138435),Sam LaPorta (44138445),Frank Gore Jr. (44138464)
5259402799,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Khalil Shakir (44138486),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Sam LaPorta (44138445),Frank Gore Jr. (44138464)
5259402800,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Sam LaPorta (44138491),Jahmyr Gibbs (44138432),Josh Allen (44138433),Jared Goff (44138435),Khalil Shakir (44138440),Ray Davis (44138455)
5259402801,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Khalil Shakir (44138440),Ray Davis (44138455),Jackson Hawes (44138463)
5259402802,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Josh Allen (44138479),Jahmyr Gibbs (44138432),Amon-Ra St. Brown (44138434),Jameson Williams (44138438),Ray Davis (44138455),Frank Gore Jr. (44138464)
5259402803,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Amon-Ra St. Brown (44138480),Jahmyr Gibbs (44138432),Josh Allen (44138433),Jared Goff (44138435),Tay Martin (44138462),Frank Gore Jr. (44138464)
5259402804,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jared Goff (44138481),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Frank Gore Jr. (44138464),Jackson Meeks (44138474)
5259402805,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jameson Williams (44138484),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Jared Goff (44138435),Khalil Shakir (44138440),Frank Gore Jr. (44138464)
5259402806,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Khalil Shakir (44138486),Jahmyr Gibbs (44138432),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Keon Coleman (44138448),Ray Davis (44138455)
5259402807,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Sam LaPorta (44138491),Josh Allen (44138433),Amon-Ra St. Brown (44138434),Jared Goff (44138435),Khalil Shakir (44138440),Ray Davis (44138455)
