Entry ID,Contest Name,Contest ID,Entry Fee,CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
5259382684,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,1. Column A lists all of your contest entries for this draftgroup
5259402795,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,2. Your current lineup is listed next to each entry (blank for reservations)
5259402796,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5259402797,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5259402798,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,5. For faster processing only include entries you are changing in the file you upload
5259402799,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,
5259402800,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5259402801,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,RB,Jahmyr Gibbs (44138478),Jahmyr Gibbs,44138478,CPT,18000,DET@BUF 09/17/2026 08:15PM ET,DET,37.6
5259402802,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Josh Allen (44138479),Josh Allen,44138479,CPT,17100,DET@BUF 09/17/2026 08:15PM ET,BUF,38.66
5259402803,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,Amon-Ra St. Brown (44138480),Amon-Ra St. Brown,44138480,CPT,15600,DET@BUF 09/17/2026 08:15PM ET,DET,28.7
5259402804,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Jared Goff (44138481),Jared Goff,44138481,CPT,14400,DET@BUF 09/17/2026 08:15PM ET,DET,16.44
5259402805,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,RB,James Cook III (44138482),James Cook III,44138482,CPT,14100,DET@BUF 09/17/2026 08:15PM ET,BUF,9.9
5259402806,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,RB,Jahmyr Gibbs (44138432),Jahmyr Gibbs,44138432,FLEX,12000,DET@BUF 09/17/2026 08:15PM ET,DET,37.6
5259402807,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,DJ Moore (44138483),DJ Moore,44138483,CPT,11700,DET@BUF 09/17/2026 08:15PM ET,BUF,24
5259402808,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,QB,Josh Allen (44138433),Josh Allen,44138433,FLEX,11400,DET@BUF 09/17/2026 08:15PM ET,BUF,38.66
5259402809,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,Jameson Williams (44138484),Jameson Williams,44138484,CPT,11100,DET@BUF 09/17/2026 08:15PM ET,DET,8.5
5259402810,NFL Showdown $200 Dime Package [Just $0.10!] (DET @ BUF),195785338,$0.10,Jahmyr Gibbs (44138478),James Cook III (44138436),Joshua Dobbs (44138444),Jared Goff (44138435),Stephen Gosnell (44138471),Trent Sherfield Sr. (44138470),,WR,Amon-Ra St. Brown (44138434),Amon-Ra St. Brown,44138434,FLEX,10400,DET@BUF 09/17/2026 08:15PM ET,DET,28.7
