player,team,position,role,metric,mean,median,q10,q25,q50,q75,q90,sd,p_opportunity_ge_1,forecast_stage,model_health,data_completeness,upstream_blockers,n_draws,written_at,run_id
Jaxson Dart,NYG,QB,QB1,qb/att,24.4775,25.0,12.0,19.0,25.0,31.0,37.0,10.4631,0.9304,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jaxson Dart,NYG,QB,QB1,qb/cmp,15.3499,16.0,7.0,11.0,16.0,20.0,24.0,7.0101,0.9304,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jaxson Dart,NYG,QB,QB1,qb/db,29.2411,31.0,15.0,23.0,31.0,37.0,43.0,12.2551,0.9304,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jaxson Dart,NYG,QB,QB1,qb/int,0.4231,0.0,0.0,0.0,0.0,1.0,1.0,0.6661,0.9304,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jaxson Dart,NYG,QB,QB1,qb/pyds,159.959,159.0,56.1059,108.0,159.0,213.0,265.0,81.4561,0.9304,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jaxson Dart,NYG,QB,QB1,qb/rush_opp,4.9224,5.0,1.0,3.0,5.0,7.0,9.0,2.9628,0.9304,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jaxson Dart,NYG,QB,QB1,qb/sacks,2.3325,2.0,0.0,1.0,2.0,3.0,5.0,1.7563,0.9304,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jaxson Dart,NYG,QB,QB1,qb/scr,2.4311,2.0,0.0,1.0,2.0,4.0,5.0,1.7986,0.9304,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Joe Milton III,DAL,QB,,qb/att,19.576,23.0,0.0,0.0,23.0,34.0,41.0,17.182,0.6305,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Joe Milton III,DAL,QB,,qb/cmp,12.5482,14.0,0.0,0.0,14.0,22.0,27.0,11.286,0.6305,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Joe Milton III,DAL,QB,,qb/db,21.6747,25.0,0.0,0.0,25.0,37.0,44.0,18.9643,0.6305,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Joe Milton III,DAL,QB,,qb/int,0.6248,0.0,0.0,0.0,0.0,1.0,2.0,0.9465,0.6305,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Joe Milton III,DAL,QB,,qb/pyds,141.6983,150.9128,0.0,0.0,150.9128,244.8306,317.0,132.2936,0.6305,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Joe Milton III,DAL,QB,,qb/rush_opp,3.3609,3.0,0.0,0.0,3.0,6.0,8.0,3.4371,0.6305,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Joe Milton III,DAL,QB,,qb/sacks,0.5984,0.0,0.0,0.0,0.0,1.0,2.0,0.9174,0.6305,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Joe Milton III,DAL,QB,,qb/scr,1.5004,1.0,0.0,0.0,1.0,3.0,4.0,1.7582,0.6305,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Dak Prescott,DAL,QB,QB1,qb/att,15.3205,7.0,0.0,0.0,7.0,31.0,39.0,16.8568,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Dak Prescott,DAL,QB,QB1,qb/cmp,9.8468,4.0,0.0,0.0,4.0,20.0,25.0,11.0443,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Dak Prescott,DAL,QB,QB1,qb/db,16.7986,8.0,0.0,0.0,8.0,34.0,43.0,18.45,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
