rank,player,team,metric,mean,p10_p90,model_health,confidence_score,p_opportunity_ge_1,upstream_blockers
1,Malik Nabers,NYG,receiving/targets,5.3751,1.0-10.0,CLEAN,0.8575,0.9339,
2,Malik Nabers,NYG,receiving/receptions,3.3595,0.0-7.0,CLEAN,0.8421,0.9339,
3,Theo Johnson,NYG,receiving/targets,3.4789,1.0-7.0,CLEAN,0.8381,0.9054,
4,CeeDee Lamb,DAL,receiving/targets,6.8066,0.0-13.0,CLEAN,0.8352,0.8714,
5,CeeDee Lamb,DAL,receiving/receptions,4.6486,0.0-9.0,CLEAN,0.8343,0.8714,
6,Cam Skattebo,NYG,receiving/targets,2.3151,0.0-5.0,CLEAN,0.8197,0.8154,
7,Tyrone Tracy Jr.,NYG,receiving/targets,2.423,0.0-5.0,CLEAN,0.8188,0.7859,
8,Theo Johnson,NYG,receiving/receptions,2.2095,0.0-5.0,CLEAN,0.8179,0.9054,
9,Cam Skattebo,NYG,receiving/receptions,1.7599,0.0-4.0,CLEAN,0.8155,0.8154,
10,Tyrone Tracy Jr.,NYG,receiving/receptions,1.7837,0.0-4.0,CLEAN,0.8121,0.7859,
11,Darnell Mooney,NYG,receiving/targets,2.9941,0.0-6.0,CLEAN,0.8082,0.8326,
12,Jake Ferguson,DAL,receiving/receptions,2.9266,0.0-6.0,CLEAN,0.7999,0.8224,
13,Ryan Flournoy,DAL,receiving/receptions,3.3034,0.0-7.0,CLEAN,0.7978,0.8171,
14,Ryan Flournoy,DAL,receiving/targets,4.6835,0.0-10.0,CLEAN,0.7972,0.8171,
15,Darnell Mooney,NYG,receiving/receptions,1.7239,0.0-4.0,CLEAN,0.7963,0.8326,
16,Jake Ferguson,DAL,receiving/targets,3.9926,0.0-9.0,CLEAN,0.7922,0.8224,
17,George Pickens,DAL,receiving/targets,5.7524,0.0-12.0,CLEAN,0.7858,0.7619,
18,George Pickens,DAL,receiving/receptions,3.5881,0.0-8.0,CLEAN,0.7804,0.7619,
19,Isaiah Likely,NYG,receiving/receptions,1.3779,0.0-3.0,CLEAN,0.7599,0.7294,
20,Najee Harris,NYG,receiving/targets,1.2732,0.0-3.0,CLEAN,0.7505,0.5847,
21,Isaiah Likely,NYG,receiving/targets,1.9955,0.0-5.0,CLEAN,0.7476,0.7294,
22,Israel Abanikanda,DAL,receiving/receptions,1.2263,0.0-3.0,CLEAN,0.7319,0.5972,
23,Camden Brown,DAL,receiving/receptions,1.5955,0.0-4.0,CLEAN,0.731,0.6573,
24,Najee Harris,NYG,receiving/receptions,0.987,0.0-3.0,CLEAN,0.7249,0.5847,
25,Camden Brown,DAL,receiving/targets,2.5266,0.0-7.0,CLEAN,0.7211,0.6573,
26,Israel Abanikanda,DAL,receiving/targets,1.7674,0.0-5.0,CLEAN,0.7176,0.5972,
27,Javonte Williams,DAL,receiving/targets,1.7326,0.0-5.0,CLEAN,0.7056,0.5132,
28,Malachi Fields,NYG,receiving/receptions,0.8367,0.0-2.0,CLEAN,0.7035,0.5426,
29,Javonte Williams,DAL,receiving/receptions,1.314,0.0-4.0,CLEAN,0.6997,0.5132,
30,Odell Beckham Jr.,NYG,receiving/receptions,0.7401,0.0-2.0,CLEAN,0.6963,0.56,
31,Odell Beckham Jr.,NYG,receiving/targets,1.3689,0.0-4.0,CLEAN,0.688,0.56,
32,Parris Campbell,DAL,receiving/receptions,0.2818,0.0-0.0,CLEAN,0.6824,0.1091,
33,Malachi Fields,NYG,receiving/targets,1.3313,0.0-4.0,CLEAN,0.6805,0.5426,
34,Braxton Berrios,NYG,receiving/receptions,0.761,0.0-2.0,CLEAN,0.6797,0.4849,
35,Braxton Berrios,NYG,receiving/targets,1.1347,0.0-3.0,CLEAN,0.6791,0.4849,
36,Darius Slayton,NYG,receiving/receptions,0.1182,0.0-0.0,CLEAN,0.6701,0.0621,
37,Darius Slayton,NYG,receiving/targets,0.2111,0.0-0.0,CLEAN,0.6701,0.0621,
