player,team,market,side,model_mean,model_median,hardrock_line,over_odds,under_odds,projection_minus_line,projection_minus_line_pct,model_p_over_at_exact_line,model_p_under_at_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,model_market_probability_gap_pp,forecast_stage,model_written_at,market_retrieved_at,data_status,refusal_reason
Cam Skattebo,NYG,Rushing Attempts,OVER_UNDER,5.4505,5.1022,11.5,-120,-110,-6.0495,-52.6046,0.045,0.955,0.510121,0.489879,UNDER,46.5121,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:17:56.513Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Cam Skattebo,NYG,Receiving Yards,OVER_UNDER,15.034,12.0,15.5,-120,-110,-0.466,-3.0065,0.402,0.598,0.510121,0.489879,UNDER,10.8121,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:32.257Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Cam Skattebo,NYG,Receptions,OVER_UNDER,1.816,1.0,2.5,+110,-145,-0.684,-27.36,0.285,0.715,0.44586,0.55414,UNDER,16.086,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Javonte Williams,DAL,Rushing Attempts,OVER_UNDER,7.3794,7.4407,17.5,-120,-110,-10.1206,-57.8317,0.075,0.925,0.510121,0.489879,UNDER,43.5121,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:17:56.513Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Javonte Williams,DAL,Receiving Yards,OVER_UNDER,7.456,0.0,10.5,-115,-115,-3.044,-28.9905,0.257,0.743,0.5,0.5,UNDER,24.3,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:32.257Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Javonte Williams,DAL,Receptions,OVER_UNDER,1.293,0.0,2.5,+135,-185,-1.207,-48.28,0.201,0.799,0.395971,0.604029,UNDER,19.4971,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Malik Nabers,NYG,Receiving Yards,OVER_UNDER,37.417,31.0,57.5,-115,-115,-20.083,-34.927,0.226,0.774,0.5,0.5,UNDER,27.4,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:32.257Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Malik Nabers,NYG,Receptions,OVER_UNDER,3.288,3.0,4.5,-155,+120,-1.212,-26.9333,0.263,0.737,0.572148,0.427852,UNDER,30.9148,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
CeeDee Lamb,DAL,Receiving Yards,OVER_UNDER,58.19,51.0,77.5,-115,-115,-19.31,-24.9161,0.286,0.714,0.5,0.5,UNDER,21.4,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:32.257Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
CeeDee Lamb,DAL,Receptions,OVER_UNDER,4.46,4.0,5.5,-160,+120,-1.04,-18.9091,0.338,0.662,0.575163,0.424837,UNDER,23.7163,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
George Pickens,DAL,Receiving Yards,OVER_UNDER,61.637,51.0,68.5,-115,-115,-6.863,-10.019,0.394,0.606,0.5,0.5,UNDER,10.6,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:32.257Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
George Pickens,DAL,Receptions,OVER_UNDER,3.855,4.0,4.5,-155,+120,-0.645,-14.3333,0.376,0.624,0.572148,0.427852,UNDER,19.6148,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
