snapshot_label,player,team,opponent,market,line,over_price,under_price,sportsbook,retrieval_time_utc,event_url
HARD_ROCK_PRE_INACTIVES,Dak Prescott,DAL,NYG,Passing TDs,1.5,-155,+120,Hard Rock Bet,2026-09-13T21:17:25.723Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Jaxson Dart,NYG,DAL,Passing TDs,1.5,+135,-180,Hard Rock Bet,2026-09-13T21:17:25.723Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Dak Prescott,DAL,NYG,Interceptions,0.5,-110,-120,Hard Rock Bet,2026-09-13T21:17:25.723Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Jaxson Dart,NYG,DAL,Interceptions,0.5,+100,-130,Hard Rock Bet,2026-09-13T21:17:25.723Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Dak Prescott,DAL,NYG,Pass Completions,23.5,+105,-135,Hard Rock Bet,2026-09-13T21:17:25.723Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Jaxson Dart,NYG,DAL,Pass Completions,18.5,-125,-105,Hard Rock Bet,2026-09-13T21:17:25.723Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Dak Prescott,DAL,NYG,Pass Attempts,33.5,-120,-110,Hard Rock Bet,2026-09-13T21:17:25.723Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Jaxson Dart,NYG,DAL,Pass Attempts,29.5,-115,-115,Hard Rock Bet,2026-09-13T21:17:25.723Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Dak Prescott,DAL,NYG,Passing Yards,263.5,-115,-115,Hard Rock Bet,2026-09-13T21:17:36.271Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Jaxson Dart,NYG,DAL,Passing Yards,211.5,-120,-110,Hard Rock Bet,2026-09-13T21:17:36.271Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Javonte Williams,DAL,NYG,Rushing Attempts,17.5,-120,-110,Hard Rock Bet,2026-09-13T21:17:56.513Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Dak Prescott,DAL,NYG,Rushing Attempts,2.5,-130,+100,Hard Rock Bet,2026-09-13T21:17:56.513Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Cam Skattebo,NYG,DAL,Rushing Attempts,11.5,-120,-110,Hard Rock Bet,2026-09-13T21:17:56.513Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Jaxson Dart,NYG,DAL,Rushing Attempts,6.5,-110,-120,Hard Rock Bet,2026-09-13T21:17:56.513Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Cam Skattebo,NYG,DAL,Rushing Yards,50.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:04.291Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Dak Prescott,DAL,NYG,Rushing Yards,8.5,-110,-120,Hard Rock Bet,2026-09-13T21:18:04.291Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Javonte Williams,DAL,NYG,Rushing Yards,75.5,-115,-115,Hard Rock Bet,2026-09-13T21:18:04.291Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
HARD_ROCK_PRE_INACTIVES,Jaxson Dart,NYG,DAL,Rushing Yards,32.5,-110,-120,Hard Rock Bet,2026-09-13T21:18:04.291Z,https://app.hardrock.bet/competition/nfl/4913844650500030719?tab=player-props
