player,team,position,market,line,over_odds,under_odds,is_main_line,status,push_rule,model_mean,model_median,model_p_over,model_p_under,model_p_push,model_mcse_over,model_mcse_under,market_raw_p_over,market_raw_p_under,market_hold,market_novig_p_over,market_novig_p_under,edge_over,edge_under,ev_over,ev_under,simulation_draws,model_source_arrays,gsis_id,line_timestamp_utc,forecast_identity,market_snapshot_identity,support_status,refusal_reason
Jake Bates,DET,PK,Player Field Goals Made,1.5,-115,-115,True,open_two_sided,"no push, half-point line",,,,,,,,0.5348837209302325,0.5348837209302325,0.06976744186046502,0.5,0.5,,,,,,,,2026-09-17T21:16:43.233895Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,IDENTITY_UNRESOLVED,"the sealed draws hold a kicking layer with one row per club (00-0036162, 00-0039172), so the model universe DOES contain a kicker for DET. The board's 29 named players omit both kicking rows, so no name-to-gsis_id mapping exists in the sealed artifact for 'Jake Bates'. Resolving it by (team, position) would be an inference, not an identity, and is refused. What would fix it: publish the kicking rows in the board's player list with their names."
Tyler Bass,BUF,PK,Player Field Goals Made,1.5,-105,-125,True,open_two_sided,"no push, half-point line",,,,,,,,0.5121951219512195,0.5555555555555556,0.0677506775067751,0.4796954314720812,0.5203045685279188,,,,,,,,2026-09-17T21:27:14.997480Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,IDENTITY_UNRESOLVED,"the sealed draws hold a kicking layer with one row per club (00-0036162, 00-0039172), so the model universe DOES contain a kicker for BUF. The board's 29 named players omit both kicking rows, so no name-to-gsis_id mapping exists in the sealed artifact for 'Tyler Bass'. Resolving it by (team, position) would be an inference, not an identity, and is refused. What would fix it: publish the kicking rows in the board's player list with their names."
Jared Goff,DET,QB,Player Interceptions,0.5,-110,-120,True,open_two_sided,"no push, half-point line",0.560125,0.0,0.426125,0.573875,0.0,0.005528816378473335,0.005528816378473335,0.5238095238095238,0.5454545454545454,0.06926406926406914,0.48987854251012153,0.5101214574898786,-0.06375354251012155,0.06375354251012144,-0.18648863636363644,0.05210416666666673,8000,qb/int,00-0033106,2026-09-17T15:23:40.526596Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,EXACT_MODEL_SUPPORTED,
Josh Allen,BUF,QB,Player Interceptions,0.5,125,-160,True,open_two_sided,"no push, half-point line",0.65225,0.0,0.4635,0.5365,0.0,0.005575255039009426,0.005575255039009426,0.4444444444444444,0.6153846153846154,0.05982905982905984,0.4193548387096774,0.5806451612903226,0.04414516129032264,-0.04414516129032264,0.042874999999999996,-0.1281875,8000,qb/int,00-0034857,2026-09-17T15:23:40.526596Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,EXACT_MODEL_SUPPORTED,
Jake Bates,DET,PK,Player Kicking Points,7.5,105,,True,open_one_sided_over,"no push, half-point line",,,,,,,,0.4878048780487805,,,,,,,,,,,,2026-09-17T15:23:40.526596Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,MODEL_STAT_NOT_AVAILABLE,"requires the kicker`s scoring construction (field goals by distance bucket plus extra points) resolved to a point total in the same draw. The arrays exist but the scoring composition is not verified exact in this artifact, and an approximation is worse than a refusal."
Tyler Bass,BUF,PK,Player Kicking Points,7.5,-120,,True,open_one_sided_over,"no push, half-point line",,,,,,,,0.5454545454545454,,,,,,,,,,,,2026-09-17T21:01:13.297992Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,MODEL_STAT_NOT_AVAILABLE,"requires the kicker`s scoring construction (field goals by distance bucket plus extra points) resolved to a point total in the same draw. The arrays exist but the scoring composition is not verified exact in this artifact, and an approximation is worse than a refusal."
Jared Goff,DET,QB,Player Longest Passing Completion,35.5,-115,-115,True,open_two_sided,"no push, half-point line",,,,,,,,0.5348837209302325,0.5348837209302325,0.06976744186046502,0.5,0.5,,,,,,,,2026-09-17T16:32:42.146504Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,MODEL_STAT_NOT_AVAILABLE,settles on the maximum single completion; not present as an event-level quantity.
Josh Allen,BUF,QB,Player Longest Passing Completion,39.5,-120,-110,True,open_two_sided,"no push, half-point line",,,,,,,,0.5454545454545454,0.5238095238095238,0.06926406926406914,0.5101214574898786,0.48987854251012153,,,,,,,,2026-09-17T21:29:58.645761Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,MODEL_STAT_NOT_AVAILABLE,settles on the maximum single completion; not present as an event-level quantity.
Amon-Ra St. Brown,DET,WR,Player Longest Reception,22.5,-110,-120,True,open_two_sided,"no push, half-point line",,,,,,,,0.5238095238095238,0.5454545454545454,0.06926406926406914,0.48987854251012153,0.5101214574898786,,,,,,,,2026-09-17T21:34:58.438117Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,MODEL_STAT_NOT_AVAILABLE,"settles on the MAXIMUM single reception. The sealed world holds per-game receiving totals and per-catch atoms are not exported in this artifact, so a maximum cannot be recovered from a sum."
DJ Moore,BUF,WR,Player Longest Reception,24.5,-110,-120,True,open_two_sided,"no push, half-point line",,,,,,,,0.5238095238095238,0.5454545454545454,0.06926406926406914,0.48987854251012153,0.5101214574898786,,,,,,,,2026-09-17T16:56:58.870390Z,c3probe_V1_CANDIDATE_R9_W1P_GSVUC/d709e67b82d5b01c,hardrock:202609189BE34D3B@2026-09-17T21:45:02Z,MODEL_STAT_NOT_AVAILABLE,"settles on the MAXIMUM single reception. The sealed world holds per-game receiving totals and per-catch atoms are not exported in this artifact, so a maximum cannot be recovered from a sum."
