game,market,player,displayed_selection,team,position,line_0452Z,over_0452Z,under_0452Z,line_1635Z,over_1635Z,under_1635Z,selection_price_0452Z,selection_price_1635Z,market_status_1635Z,book_line_timestamp_1635Z,retrieved_0452Z,retrieved_1635Z,delta_status
CAR@ATL,Moneyline,,Atlanta Falcons,ATL,,,,,,,,130,125,open_single_selection,2026-09-20T16:26:01.926720Z,2026-09-20T04:52:01Z,2026-09-20T16:35:12Z,CHANGED(selection_price)
CAR@ATL,Moneyline,,Carolina Panthers,CAR,,,,,,,,-155,-145,open_single_selection,2026-09-20T16:26:01.926720Z,2026-09-20T04:52:01Z,2026-09-20T16:35:12Z,CHANGED(selection_price)
CAR@ATL,Player Field Goals Made,Nick Folk,Nick Folk,ATL,PK,,,,1.5,100,-130,,,open_two_sided,2026-09-20T16:28:29.200702Z,,2026-09-20T16:35:46Z,NEW_SINCE_0452Z
CAR@ATL,Player Field Goals Made,Ryan Fitzgerald,Ryan Fitzgerald,CAR,PK,1.5,-125,-105,1.5,-120,-110,,,open_two_sided,2026-09-20T15:52:51.858560Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Interceptions,Bryce Young,Bryce Young,CAR,QB,0.5,-110,-120,0.5,-110,-120,,,open_two_sided,2026-09-19T00:08:06.347987Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,UNCHANGED
CAR@ATL,Player Interceptions,Cooper Rush,Cooper Rush,ATL,QB,0.5,-150,115,0.5,-150,115,,,open_two_sided,2026-09-19T21:24:35.849634Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,UNCHANGED
CAR@ATL,Player Kicking Points,Nick Folk,Nick Folk,ATL,PK,6.5,-115,,6.5,-115,,,,open_one_sided_over,2026-09-20T16:28:29.200702Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Kicking Points,Ryan Fitzgerald,Ryan Fitzgerald,CAR,PK,7.5,105,,7.5,105,,,,open_one_sided_over,2026-09-20T16:28:29.200702Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Longest Passing Completion,Bryce Young,Bryce Young,CAR,QB,36.5,-115,-115,36.5,-115,-115,,,open_two_sided,2026-09-20T03:44:06.233997Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,UNCHANGED
CAR@ATL,Player Longest Passing Completion,Cooper Rush,Cooper Rush,ATL,QB,31.5,-115,-115,31.5,-110,-120,,,open_two_sided,2026-09-20T15:01:07.100030Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Longest Reception,Bijan Robinson,Bijan Robinson,ATL,RB,15.5,-120,-110,15.5,-115,-115,,,open_two_sided,2026-09-20T08:36:50.825456Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Longest Reception,Chuba Hubbard,Chuba Hubbard,CAR,RB,8.5,-105,-125,8.5,-110,-120,,,open_two_sided,2026-09-20T15:41:36.795492Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Longest Reception,Darren Waller,Darren Waller,CAR,TE,12.5,-110,-120,12.5,-110,-120,,,open_two_sided,2026-09-19T15:43:06.282352Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Longest Reception,Drake London,Drake London,ATL,WR,21.5,-115,-115,21.5,-115,-115,,,open_two_sided,2026-09-20T15:13:52.113523Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Longest Reception,Jahan Dotson,Jahan Dotson,ATL,WR,12.5,-115,-115,12.5,-115,-115,,,open_two_sided,2026-09-19T21:22:21.118800Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Longest Reception,Jalen Coker,Jalen Coker,CAR,WR,21.5,-110,-120,21.5,-115,-115,,,open_two_sided,2026-09-20T08:36:50.825456Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Longest Reception,Kyle Pitts,Kyle Pitts,ATL,TE,15.5,-115,-115,15.5,-115,-115,,,open_two_sided,2026-09-20T08:36:50.825456Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Longest Reception,Tetairoa McMillan,Tetairoa McMillan,CAR,WR,23.5,-110,-120,23.5,-110,-120,,,open_two_sided,2026-09-20T03:26:21.071263Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Longest Reception,Tommy Tremble,Tommy Tremble,CAR,TE,,,,10.5,-115,-115,,,open_two_sided,2026-09-20T13:43:36.177861Z,,2026-09-20T16:35:46Z,NEW_SINCE_0452Z
CAR@ATL,Player Longest Reception,Xavier Legette,Xavier Legette,CAR,WR,,,,12.5,-110,-120,,,open_two_sided,2026-09-20T15:56:52.734245Z,,2026-09-20T16:35:46Z,NEW_SINCE_0452Z
CAR@ATL,Player Longest Rush,Bijan Robinson,Bijan Robinson,ATL,RB,16.5,-120,-110,16.5,-120,-110,,,open_two_sided,2026-09-20T16:28:29.200702Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Longest Rush,Brian Robinson Jr.,Brian Robinson Jr.,ATL,RB,8.5,-105,-125,8.5,-105,-125,,,open_two_sided,2026-09-20T00:51:35.925050Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Longest Rush,Bryce Young,Bryce Young,CAR,QB,9.5,-120,-110,9.5,-120,-110,,,open_two_sided,2026-09-19T13:31:51.102083Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Longest Rush,Chuba Hubbard,Chuba Hubbard,CAR,RB,12.5,-120,-110,12.5,-115,-115,,,open_two_sided,2026-09-20T08:36:06.871885Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,"CHANGED(over_price,under_price)"
