retrieved_at_utc,book,game_id,game,away_team,home_team,kickoff_utc,player,displayed_selection,team,opponent,position,market,market_id,market_class,is_main_line,line,over_price,under_price,selection_price,market_status,book_line_timestamp_utc,odds_id_over,odds_id_under,source_url,source_endpoint,evidence_type,raw_file
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Nick Folk,Nick Folk,ATL,CAR,PK,Player Field Goals Made,player_field_goals_made,player_prop,True,1.5,100,-130,,open_two_sided,2026-09-20T16:28:29.200702Z,32889-18124-26-37:hard_rock:player_field_goals_made:nick_folk_over_1_5,32889-18124-26-37:hard_rock:player_field_goals_made:nick_folk_under_1_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/6968239940090069424,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_field_goals_made,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Ryan Fitzgerald,Ryan Fitzgerald,CAR,ATL,PK,Player Field Goals Made,player_field_goals_made,player_prop,True,1.5,-120,-110,,open_two_sided,2026-09-20T15:52:51.858560Z,32889-18124-26-37:hard_rock:player_field_goals_made:ryan_fitzgerald_over_1_5,32889-18124-26-37:hard_rock:player_field_goals_made:ryan_fitzgerald_under_1_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/2270182999507206546,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_field_goals_made,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bryce Young,Bryce Young,CAR,ATL,QB,Player Interceptions,player_interceptions,player_prop,True,0.5,-110,-120,,open_two_sided,2026-09-19T00:08:06.347987Z,32889-18124-26-37:hard_rock:player_interceptions:bryce_young_over_0_5,32889-18124-26-37:hard_rock:player_interceptions:bryce_young_under_0_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/210590112432652706,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_interceptions,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Cooper Rush,Cooper Rush,ATL,CAR,QB,Player Interceptions,player_interceptions,player_prop,True,0.5,-150,115,,open_two_sided,2026-09-19T21:24:35.849634Z,32889-18124-26-37:hard_rock:player_interceptions:cooper_rush_over_0_5,32889-18124-26-37:hard_rock:player_interceptions:cooper_rush_under_0_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/5518258759232782729,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_interceptions,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Nick Folk,Nick Folk,ATL,CAR,PK,Player Kicking Points,player_kicking_points,player_prop,True,6.5,-115,,,open_one_sided_over,2026-09-20T16:28:29.200702Z,32889-18124-26-37:hard_rock:player_kicking_points:nick_folk_over_6_5,,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/176486506855268766,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_kicking_points,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Ryan Fitzgerald,Ryan Fitzgerald,CAR,ATL,PK,Player Kicking Points,player_kicking_points,player_prop,True,7.5,105,,,open_one_sided_over,2026-09-20T16:28:29.200702Z,32889-18124-26-37:hard_rock:player_kicking_points:ryan_fitzgerald_over_7_5,,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1591402910598693278,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_kicking_points,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bryce Young,Bryce Young,CAR,ATL,QB,Player Longest Passing Completion,player_longest_passing_completion,player_prop,True,36.5,-115,-115,,open_two_sided,2026-09-20T03:44:06.233997Z,32889-18124-26-37:hard_rock:player_longest_passing_completion:bryce_young_over_36_5,32889-18124-26-37:hard_rock:player_longest_passing_completion:bryce_young_under_36_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/8121907667783516568,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_passing_completion,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:31Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Cooper Rush,Cooper Rush,ATL,CAR,QB,Player Longest Passing Completion,player_longest_passing_completion,player_prop,True,31.5,-110,-120,,open_two_sided,2026-09-20T15:01:07.100030Z,32889-18124-26-37:hard_rock:player_longest_passing_completion:cooper_rush_over_31_5,32889-18124-26-37:hard_rock:player_longest_passing_completion:cooper_rush_under_31_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/5460634604656525712,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_passing_completion,structured_json_api_response,raw/CAR_at_ATL__g1.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bijan Robinson,Bijan Robinson,ATL,CAR,RB,Player Longest Reception,player_longest_reception,player_prop,True,15.5,-115,-115,,open_two_sided,2026-09-20T08:36:50.825456Z,32889-18124-26-37:hard_rock:player_longest_reception:bijan_robinson_over_15_5,32889-18124-26-37:hard_rock:player_longest_reception:bijan_robinson_under_15_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/5064274490490487210,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Chuba Hubbard,Chuba Hubbard,CAR,ATL,RB,Player Longest Reception,player_longest_reception,player_prop,True,8.5,-110,-120,,open_two_sided,2026-09-20T15:41:36.795492Z,32889-18124-26-37:hard_rock:player_longest_reception:chuba_hubbard_over_8_5,32889-18124-26-37:hard_rock:player_longest_reception:chuba_hubbard_under_8_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/2081402145592181129,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Darren Waller,Darren Waller,CAR,ATL,TE,Player Longest Reception,player_longest_reception,player_prop,True,12.5,-110,-120,,open_two_sided,2026-09-19T15:43:06.282352Z,32889-18124-26-37:hard_rock:player_longest_reception:darren_waller_over_12_5,32889-18124-26-37:hard_rock:player_longest_reception:darren_waller_under_12_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1634056208266690974,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
