retrieved_at_utc,book,game_id,game,away_team,home_team,kickoff_utc,player,displayed_selection,team,opponent,position,market,market_id,market_class,is_main_line,line,over_price,under_price,selection_price,market_status,book_line_timestamp_utc,odds_id_over,odds_id_under,source_url,source_endpoint,evidence_type,raw_file
2026-09-20T22:52:16Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Harrison Butker,Harrison Butker,KC,IND,PK,Player Field Goals Made,player_field_goals_made,player_prop,True,1.5,-140,110,,open_two_sided,2026-09-20T10:01:36.109540Z,40716-13602-26-37:hard_rock:player_field_goals_made:harrison_butker_over_1_5,40716-13602-26-37:hard_rock:player_field_goals_made:harrison_butker_under_1_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/102147069707420035,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_field_goals_made,structured_json_api_response,raw/IND_at_KC__g4.json
2026-09-20T22:52:16Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Spencer Shrader,Spencer Shrader,IND,KC,PK,Player Field Goals Made,player_field_goals_made,player_prop,True,1.5,-105,-125,,open_two_sided,2026-09-20T18:08:46.311941Z,40716-13602-26-37:hard_rock:player_field_goals_made:spencer_shrader_over_1_5,40716-13602-26-37:hard_rock:player_field_goals_made:spencer_shrader_under_1_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7756171882256269739,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_field_goals_made,structured_json_api_response,raw/IND_at_KC__g4.json
2026-09-20T22:52:15Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Daniel Jones,Daniel Jones,IND,KC,QB,Player Interceptions,player_interceptions,player_prop,True,0.5,-120,-110,,open_two_sided,2026-09-20T11:21:50.789547Z,40716-13602-26-37:hard_rock:player_interceptions:daniel_jones_over_0_5,40716-13602-26-37:hard_rock:player_interceptions:daniel_jones_under_0_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7980767078762283395,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_interceptions,structured_json_api_response,raw/IND_at_KC__g1.json
2026-09-20T22:52:15Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Patrick Mahomes,Patrick Mahomes,KC,IND,QB,Player Interceptions,player_interceptions,player_prop,True,0.5,110,-145,,open_two_sided,2026-09-20T04:02:21.645470Z,40716-13602-26-37:hard_rock:player_interceptions:patrick_mahomes_over_0_5,40716-13602-26-37:hard_rock:player_interceptions:patrick_mahomes_under_0_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/6881854787902636427,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_interceptions,structured_json_api_response,raw/IND_at_KC__g1.json
2026-09-20T22:52:16Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Harrison Butker,Harrison Butker,KC,IND,PK,Player Kicking Points,player_kicking_points,player_prop,True,7.5,-130,,,open_one_sided_over,2026-09-20T16:24:04.449519Z,40716-13602-26-37:hard_rock:player_kicking_points:harrison_butker_over_7_5,,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4819713266697765264,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_kicking_points,structured_json_api_response,raw/IND_at_KC__g4.json
2026-09-20T22:52:16Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Spencer Shrader,Spencer Shrader,IND,KC,PK,Player Kicking Points,player_kicking_points,player_prop,True,6.5,-110,,,open_one_sided_over,2026-09-20T16:33:58.424917Z,40716-13602-26-37:hard_rock:player_kicking_points:spencer_shrader_over_6_5,,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1484223204854727054,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_kicking_points,structured_json_api_response,raw/IND_at_KC__g4.json
2026-09-20T22:52:15Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Daniel Jones,Daniel Jones,IND,KC,QB,Player Longest Passing Completion,player_longest_passing_completion,player_prop,True,31.5,-115,-115,,open_two_sided,2026-09-20T22:29:28.799214Z,40716-13602-26-37:hard_rock:player_longest_passing_completion:daniel_jones_over_31_5,40716-13602-26-37:hard_rock:player_longest_passing_completion:daniel_jones_under_31_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7255939022244151694,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_longest_passing_completion,structured_json_api_response,raw/IND_at_KC__g1.json
2026-09-20T22:52:15Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Patrick Mahomes,Patrick Mahomes,KC,IND,QB,Player Longest Passing Completion,player_longest_passing_completion,player_prop,True,34.5,-120,-110,,open_two_sided,2026-09-20T16:36:32.938007Z,40716-13602-26-37:hard_rock:player_longest_passing_completion:patrick_mahomes_over_34_5,40716-13602-26-37:hard_rock:player_longest_passing_completion:patrick_mahomes_under_34_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/5421379263553208717,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_longest_passing_completion,structured_json_api_response,raw/IND_at_KC__g1.json
2026-09-20T22:52:16Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Alec Pierce,Alec Pierce,IND,KC,WR,Player Longest Reception,player_longest_reception,player_prop,True,22.5,-110,-120,,open_two_sided,2026-09-20T22:38:14.143745Z,40716-13602-26-37:hard_rock:player_longest_reception:alec_pierce_over_22_5,40716-13602-26-37:hard_rock:player_longest_reception:alec_pierce_under_22_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/8567299722379919784,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/IND_at_KC__g4.json
2026-09-20T22:52:16Z,Hard Rock Bet,202609217572D919,IND@KC,IND,KC,2026-09-21T00:20:00Z,Josh Downs,Josh Downs,IND,KC,WR,Player Longest Reception,player_longest_reception,player_prop,True,17.5,-115,-115,,open_two_sided,2026-09-20T08:35:51.121621Z,40716-13602-26-37:hard_rock:player_longest_reception:josh_downs_over_17_5,40716-13602-26-37:hard_rock:player_longest_reception:josh_downs_under_17_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/6701683576741691785,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609217572D919&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/IND_at_KC__g4.json
