season,game_id,team,starter,established_incumbent,team_dropbacks,starter_share,pid,dropbacks,share,classification,entry_qtr,entry_secs_remaining,margin_at_entry,starter_returned
2021,2021_09_ARI_SF,ARI,00-0027688,False,29,0.9655,00-0034775,1,0.0345,PLANNED_ROTATION_OR_PACKAGE,1.0,2771.0,7.0,True
2021,2021_10_CAR_ARI,ARI,00-0027688,True,33,0.6667,00-0035752,11,0.3333,REPLACEMENT_NO_RETURN,3.0,1131.0,28.0,False
2021,2021_15_ARI_DET,ARI,00-0035228,True,52,0.8269,00-0027688,9,0.1731,BLOWOUT_RELIEF,4.0,161.0,18.0,False
2021,2021_17_ARI_DAL,ARI,00-0035228,True,40,0.975,00-0029747,1,0.025,PLANNED_ROTATION_OR_PACKAGE,2.0,2433.0,3.0,True
2022,2022_01_KC_ARI,ARI,00-0035228,False,41,0.878,00-0035146,5,0.122,BLOWOUT_RELIEF,4.0,82.0,23.0,False
2022,2022_11_SF_ARI,ARI,00-0027688,True,47,0.7872,00-0035146,10,0.2128,BLOWOUT_RELIEF,4.0,578.0,28.0,False
2022,2022_14_NE_ARI,ARI,00-0035228,True,47,0.0213,00-0027688,46,0.9787,REPLACEMENT_NO_RETURN,1.0,3504.0,0.0,False
2022,2022_15_ARI_DEN,ARI,00-0027688,False,39,0.5897,00-0035146,16,0.4103,REPLACEMENT_NO_RETURN,3.0,1666.0,3.0,False
2022,2022_16_TB_ARI,ARI,00-0035146,False,47,0.9787,00-0022824,1,0.0213,PLANNED_ROTATION_OR_PACKAGE,1.0,3345.0,3.0,True
2022,2022_18_ARI_SF,ARI,00-0035040,True,30,0.7,00-0035146,9,0.3,REPLACEMENT_NO_RETURN,3.0,927.0,25.0,False
2023,2023_07_ARI_SEA,ARI,00-0033949,True,38,0.9737,00-0038582,1,0.0263,PLANNED_ROTATION_OR_PACKAGE,4.0,304.0,7.0,True
2024,2024_15_NE_ARI,ARI,00-0035228,True,32,0.9375,00-0038582,2,0.0625,PLANNED_ROTATION_OR_PACKAGE,3.0,1090.0,13.0,True
2021,2021_02_ATL_TB,ATL,00-0026143,True,49,0.9592,00-0034343,2,0.0408,BLOWOUT_RELIEF,4.0,128.0,23.0,False
2021,2021_05_NYJ_ATL,ATL,00-0026143,True,46,0.9783,00-0030578,1,0.0217,PLANNED_ROTATION_OR_PACKAGE,1.0,3344.0,0.0,True
2021,2021_10_ATL_DAL,ATL,00-0026143,True,29,0.7931,00-0034343,6,0.2069,BLOWOUT_RELIEF,4.0,821.0,40.0,False
2021,2021_11_NE_ATL,ATL,00-0026143,True,36,0.8889,00-0034343,3,0.0833,BLOWOUT_RELIEF,4.0,105.0,19.0,False
2021,2021_11_NE_ATL,ATL,00-0026143,True,36,0.8889,00-0036825,1,0.0278,BLOWOUT_RELIEF,4.0,77.0,25.0,False
2023,2023_05_HOU_ATL,ATL,00-0038122,True,38,0.9737,00-0037238,1,0.0263,PLANNED_ROTATION_OR_PACKAGE,1.0,3266.0,3.0,True
2023,2023_08_ATL_TEN,ATL,00-0038122,True,40,0.425,00-0033858,1,0.025,PLANNED_ROTATION_OR_PACKAGE,1.0,3336.0,0.0,True
2023,2023_08_ATL_TEN,ATL,00-0038122,True,40,0.425,00-0031800,22,0.55,REPLACEMENT_NO_RETURN,3.0,1737.0,11.0,False
2023,2023_10_ATL_ARI,ATL,00-0031800,True,24,0.75,00-0038122,6,0.25,REPLACEMENT_NO_RETURN,4.0,745.0,5.0,False
2023,2023_17_ATL_CHI,ATL,00-0031800,True,35,0.8857,00-0038122,4,0.1143,BLOWOUT_RELIEF,4.0,195.0,20.0,False
