slate,game_id,player,team,market,metric,model_mean,model_median,hardrock_line,over_odds,under_odds,model_p_over_exact_line,model_p_under_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,probability_gap_pp,actual,actual_basis,absence_class,result,model_written_at,hardrock_retrieved_at,data_status,stratum,refusal_reason
1PM,2026_01_ATL_PIT,Aaron Rodgers,PIT,Interceptions,qb/int,0.472,0.0,0.5,+125,-165,0.365,0.635,0.416503,0.583497,UNDER,5.1503,0.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T15:46:51Z,2026-09-13T16:02:34.264Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_ATL_PIT,Aaron Rodgers,PIT,Pass Attempts,qb/att,32.506,34.0,31.5,-110,-120,0.587,0.413,0.489879,0.510121,OVER,9.7121,40.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T15:46:51Z,2026-09-13T16:02:34.264Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_ATL_PIT,Aaron Rodgers,PIT,Pass Completions,qb/cmp,21.126,22.0,20.5,-125,-105,0.555,0.445,0.520305,0.479695,OVER,3.4695,24.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T15:46:51Z,2026-09-13T16:02:34.264Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_ATL_PIT,Aaron Rodgers,PIT,Passing TDs,qb/ptd,1.486,1.0,1.5,+110,-140,0.442,0.558,0.449438,0.550562,UNDER,0.7438,1.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T15:46:51Z,2026-09-13T16:02:34.264Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_ATL_PIT,Aaron Rodgers,PIT,Passing Yards,qb/pyds,226.8526,231.0,211.5,-115,-115,0.574,0.426,0.5,0.5,OVER,7.4,221.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T15:46:51Z,2026-09-13T16:05:34.269Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_ATL_PIT,Aaron Rodgers,PIT,Rushing Yards,,,,0.5,-110,-120,,,,,,,,,,,,2026-09-13T16:05:47.475Z,REFUSED,REFUSED,REFUSED:ESTIMAND_NOT_SCOREABLE | qb/ryds has no exact realised match
1PM,2026_01_ATL_PIT,Bijan Robinson,ATL,Receiving Yards,receiving/receiving_yards,38.587,32.0,33.5,-120,-110,0.469,0.531,0.510121,0.489879,UNDER,4.1121,90.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T15:46:51Z,2026-09-13T16:06:00.505Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_ATL_PIT,Bijan Robinson,ATL,Receptions,receiving/receptions,4.43,4.0,4.5,+100,-130,0.463,0.537,0.469388,0.530612,UNDER,0.6388,8.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T15:46:51Z,2026-09-13T16:03:14.915Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_ATL_PIT,Bijan Robinson,ATL,Rushing Attempts,rushing/carries,16.3053,16.5,18.5,-120,-110,0.384,0.615,0.510121,0.489879,UNDER,12.5121,21.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T15:46:51Z,2026-09-13T16:02:49.229Z,PARTIAL_PLAYER_COVERAGE,CLEAN,
1PM,2026_01_ATL_PIT,Bijan Robinson,ATL,Rushing Yards,,,,71.5,-115,-115,,,,,,,,,,,,2026-09-13T16:05:47.475Z,REFUSED,REFUSED,REFUSED:MARKET_NOT_MAPPED | NOT_MODELLED: this engine has no non-quarterback rushing-yards metric. Carries are not yards.
1PM,2026_01_ATL_PIT,Brian Robinson Jr.,ATL,Rushing Yards,,,,19.5,-115,-115,,,,,,,,,,,,2026-09-13T16:05:47.475Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_ATL_PIT,Cooper Rush,ATL,Interceptions,qb/int,0.076,0.0,0.5,-180,+135,0.07,0.93,0.601707,0.398293,UNDER,53.1707,2.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T15:46:51Z,2026-09-13T16:02:34.264Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_ATL_PIT,Cooper Rush,ATL,Pass Attempts,qb/att,3.27,2.0,30.5,-105,-125,0.0,1.0,0.479695,0.520305,UNDER,47.9695,22.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T15:46:51Z,2026-09-13T16:02:34.264Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_ATL_PIT,Cooper Rush,ATL,Pass Completions,qb/cmp,2.025,1.0,17.5,-115,-115,0.0,1.0,0.5,0.5,UNDER,50.0,12.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T15:46:51Z,2026-09-13T16:02:34.264Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
