slate,game_id,player,team,market,metric,model_mean,model_median,hardrock_line,over_odds,under_odds,model_p_over_exact_line,model_p_under_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,probability_gap_pp,actual,result,model_written_at,hardrock_retrieved_at,data_status,stratum,refusal_reason
425,2026_01_ARI_LAC,Jacoby Brissett,ARI,Passing Yards,,,,220.5,-115,-115,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Justin Herbert,LAC,Passing Yards,,,,236.5,-115,-115,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Jacoby Brissett,ARI,Passing TDs,,,,1.5,+150,-210,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Justin Herbert,LAC,Passing TDs,,,,1.5,-220,+160,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Jacoby Brissett,ARI,Interceptions,,,,0.5,-135,+105,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Justin Herbert,LAC,Interceptions,,,,0.5,+155,-210,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Jacoby Brissett,ARI,Pass Completions,,,,22.5,-105,-125,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Justin Herbert,LAC,Pass Completions,,,,20.5,-120,-110,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Jacoby Brissett,ARI,Pass Attempts,,,,34.5,-115,-115,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_ARI_LAC,Justin Herbert,LAC,Pass Attempts,,,,29.5,-120,-110,,,,,,,,,,2026-09-13T18:11:57.608Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
