player,team,opponent,hrb_market_name,line,over_odds,under_odds,sportsbook,retrieval_timestamp_utc,source_url
Cooper Rush,ATL,PIT,Passing TDs,0.5,-220,+155,Hard Rock Bet,2026-09-13T16:02:34.264Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Aaron Rodgers,PIT,ATL,Passing TDs,1.5,+110,-140,Hard Rock Bet,2026-09-13T16:02:34.264Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Cooper Rush,ATL,PIT,Interceptions,0.5,-180,+135,Hard Rock Bet,2026-09-13T16:02:34.264Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Aaron Rodgers,PIT,ATL,Interceptions,0.5,+125,-165,Hard Rock Bet,2026-09-13T16:02:34.264Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Cooper Rush,ATL,PIT,Pass Completions,17.5,-115,-115,Hard Rock Bet,2026-09-13T16:02:34.264Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Aaron Rodgers,PIT,ATL,Pass Completions,20.5,-125,-105,Hard Rock Bet,2026-09-13T16:02:34.264Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Cooper Rush,ATL,PIT,Pass Attempts,30.5,-105,-125,Hard Rock Bet,2026-09-13T16:02:34.264Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Aaron Rodgers,PIT,ATL,Pass Attempts,31.5,-110,-120,Hard Rock Bet,2026-09-13T16:02:34.264Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Bijan Robinson,ATL,PIT,Rushing Attempts,18.5,-120,-110,Hard Rock Bet,2026-09-13T16:02:49.229Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Rico Dowdle,PIT,ATL,Rushing Attempts,11.5,-125,-105,Hard Rock Bet,2026-09-13T16:02:49.229Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Jaylen Warren,PIT,ATL,Rushing Attempts,10.5,-130,+100,Hard Rock Bet,2026-09-13T16:02:49.229Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Bijan Robinson,ATL,PIT,Receptions,4.5,+100,-130,Hard Rock Bet,2026-09-13T16:03:14.915Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Jahan Dotson,ATL,PIT,Receptions,1.5,-115,-115,Hard Rock Bet,2026-09-13T16:03:14.915Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Kyle Pitts Sr.,ATL,PIT,Receptions,4.5,+115,-150,Hard Rock Bet,2026-09-13T16:03:14.915Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
