season,week,game_id,gsis_id,unit,condition,opportunity_error,efficiency_error,combined_error,same_sign_or_offsetting,predicted_attempts,actual_attempts,predicted_ypa,actual_ypa,predicted_yards,actual_yards
2022,1,2022_01_BAL_NYJ,00-0034796,QB,COMPOSED,2.375,0.348805,28.15507,SAME_SIGN,32.375,30,7.44881,7.1,241.1551,213
2022,1,2022_01_BAL_NYJ,00-0026158,QB,COMPOSED,-33.85714,1.816618,-131.64465,OFFSETTING,25.1429,59,7.05391,5.23729,177.3553,309
2022,1,2022_01_BUF_LA,00-0034857,QB,COMPOSED,6.625,-2.242616,-20.90664,OFFSETTING,37.625,31,7.33803,9.58065,276.0934,297
2022,1,2022_01_BUF_LA,00-0026498,QB,COMPOSED,-5.75,2.037529,38.16435,OFFSETTING,35.25,41,7.89119,5.85366,278.1643,240
2022,1,2022_01_CLE_CAR,00-0034855,QB,COMPOSED,3.75,-1.390675,-10.12437,OFFSETTING,30.75,27,7.31303,8.7037,224.8756,235
2022,1,2022_01_CLE_CAR,00-0033119,QB,COMPOSED,-3.875,1.424976,22.27666,OFFSETTING,28.125,32,6.01873,4.59375,169.2767,147
2022,1,2022_01_DEN_SEA,00-0029263,QB,COMPOSED,-12.375,-0.493644,-114.80277,SAME_SIGN,29.625,42,7.60159,8.09524,225.1972,340
2022,1,2022_01_DEN_SEA,00-0030565,QB,COMPOSED,-8.2,0.469865,-47.80381,OFFSETTING,19.8,28,7.43415,6.96429,147.1962,195
2022,1,2022_01_GB_MIN,00-0023459,QB,COMPOSED,0.25,2.20152,76.83588,SAME_SIGN,34.25,34,7.93681,5.73529,271.8359,195
2022,1,2022_01_GB_MIN,00-0036264,QB,COMPOSED,11.75,-9.264827,45.01647,OFFSETTING,15.75,4,6.98517,16.25,110.0165,65
2022,1,2022_01_GB_MIN,00-0029604,QB,COMPOSED,0.375,-0.838022,-23.88487,OFFSETTING,32.375,32,7.81823,8.65625,253.1151,277
2022,1,2022_01_IND_HOU,00-0036898,QB,COMPOSED,-5.125,0.449295,-18.92197,OFFSETTING,31.875,37,6.93578,6.48649,221.078,240
2022,1,2022_01_IND_HOU,00-0026143,QB,COMPOSED,-20.125,0.177801,-136.36819,OFFSETTING,29.875,50,7.2178,7.04,215.6318,352
2022,1,2022_01_JAX_WAS,00-0036971,QB,COMPOSED,-9.125,-0.097033,-61.64457,SAME_SIGN,33.875,43,6.29832,6.39535,213.3554,275
2022,1,2022_01_JAX_WAS,00-0032950,QB,COMPOSED,-15.875,-0.728283,-135.30991,SAME_SIGN,27.125,43,6.55079,7.27907,177.6901,313
2022,1,2022_01_KC_ARI,00-0035146,QB,COMPOSED,1.0,4.964358,27.82179,SAME_SIGN,5.0,4,7.96436,3.0,39.8218,12
2022,1,2022_01_KC_ARI,00-0035228,QB,COMPOSED,0.0,2.128763,76.63546,ZERO_COMPONENT,36.0,36,7.48987,5.36111,269.6355,193
2022,1,2022_01_KC_ARI,00-0033873,QB,COMPOSED,-1.875,-1.591643,-76.39744,SAME_SIGN,37.125,39,7.63913,9.23077,283.6026,360
2022,1,2022_01_LV_LAC,00-0036355,QB,COMPOSED,6.375,-0.844597,18.2119,OFFSETTING,40.375,34,7.36129,8.20588,297.2119,279
2022,1,2022_01_LV_LAC,00-0031280,QB,COMPOSED,-3.0,0.010365,-22.92669,OFFSETTING,35.0,38,7.77352,7.76316,272.0733,295
2022,1,2022_01_NE_MIA,00-0036212,QB,COMPOSED,-4.0,-1.474471,-75.48694,SAME_SIGN,29.0,33,6.70735,8.18182,194.5131,270
2022,1,2022_01_NE_MIA,00-0036972,QB,COMPOSED,-2.375,0.213024,-10.97771,OFFSETTING,27.625,30,7.31302,7.1,202.0223,213
2022,1,2022_01_NO_ATL,00-0032268,QB,COMPOSED,-22.33333,0.935428,-141.00961,OFFSETTING,9.6667,32,7.65418,6.71875,73.9904,215
2022,1,2022_01_NO_ATL,00-0031503,QB,COMPOSED,-11.625,-0.849092,-112.91072,SAME_SIGN,21.375,33,7.30242,8.15152,156.0893,269
2022,1,2022_01_NYG_TEN,00-0035710,QB,COMPOSED,10.25,-1.802084,29.47371,OFFSETTING,32.25,22,6.74337,8.54545,217.4737,188
2022,1,2022_01_NYG_TEN,00-0029701,QB,COMPOSED,-1.75,-0.864018,-40.68342,SAME_SIGN,30.25,32,7.44848,8.3125,225.3166,266
2022,1,2022_01_PHI_DET,00-0033106,QB,COMPOSED,-5.375,1.144083,4.94853,OFFSETTING,31.625,37,6.95489,5.81081,219.9485,215
2022,1,2022_01_PHI_DET,00-0036389,QB,COMPOSED,-8.375,-0.326369,-71.30813,SAME_SIGN,23.625,32,7.26738,7.59375,171.6919,243
2022,1,2022_01_PIT_CIN,00-0036442,QB,COMPOSED,-19.625,1.602016,-67.76866,OFFSETTING,34.375,54,7.86128,6.25926,270.2313,338
2022,1,2022_01_PIT_CIN,00-0033869,QB,COMPOSED,-19.625,1.751866,-72.45997,OFFSETTING,17.375,37,6.99511,5.24324,121.54,194
2022,1,2022_01_SF_CHI,00-0036945,QB,COMPOSED,10.0,-0.022804,70.56076,OFFSETTING,27.0,17,7.09484,7.11765,191.5608,121
2022,1,2022_01_SF_CHI,00-0037012,QB,COMPOSED,-10.25,2.112604,-22.53699,OFFSETTING,17.75,28,7.96975,5.85714,141.463,164
2022,1,2022_01_TB_DAL,00-0033077,QB,COMPOSED,10.0,2.998183,163.13605,SAME_SIGN,39.0,29,7.61887,4.62069,297.136,134
2022,1,2022_01_TB_DAL,00-0033662,QB,COMPOSED,-1.25,3.289553,32.4984,OFFSETTING,11.75,13,8.21263,4.92308,96.4984,64
2022,1,2022_01_TB_DAL,00-0019596,QB,COMPOSED,15.75,-0.354941,108.49293,OFFSETTING,42.75,27,7.49691,7.85185,320.4929,212
2022,2,2022_02_ARI_LV,00-0035228,QB,COMPOSED,-13.0,1.88649,-2.21989,OFFSETTING,37.0,50,7.42649,5.54,274.7801,277
2022,2,2022_02_ARI_LV,00-0031280,QB,COMPOSED,-2.625,1.311585,30.74735,OFFSETTING,36.375,39,7.77312,6.46154,282.7474,252
