season,week,team,arm,team_game,actual_team_targets,pred_team_targets,budget_error,budget_crps
2022,1,ARI,BASELINE,2022-1-ARI,36,33.7879,-2.2121,2.18233
2022,1,ARI,Q8_BUDGET_SHRINK,2022-1-ARI,36,33.7139,-2.2861,2.30316
2022,1,ATL,BASELINE,2022-1-ATL,32,32.5882,0.5882,1.90649
2022,1,ATL,Q8_BUDGET_SHRINK,2022-1-ATL,32,32.929,0.929,1.97128
2022,1,BAL,BASELINE,2022-1-BAL,29,29.7879,0.7879,1.76812
2022,1,BAL,Q8_BUDGET_SHRINK,2022-1-BAL,29,31.0968,2.0968,1.86068
2022,1,BUF,BASELINE,2022-1-BUF,31,36.2121,5.2121,3.14979
2022,1,BUF,Q8_BUDGET_SHRINK,2022-1-BUF,31,35.3,4.3,2.67032
2022,1,CAR,BASELINE,2022-1-CAR,26,33.3939,7.3939,3.80998
2022,1,CAR,Q8_BUDGET_SHRINK,2022-1-CAR,26,33.4562,7.4562,3.78295
2022,1,CHI,BASELINE,2022-1-CHI,17,33.4915,16.4915,11.86274
2022,1,CHI,Q8_BUDGET_SHRINK,2022-1-CHI,17,33.52,16.52,11.97203
2022,1,CIN,BASELINE,2022-1-CIN,53,33.5152,-19.4848,15.08453
2022,1,CIN,Q8_BUDGET_SHRINK,2022-1-CIN,53,33.5355,-19.4645,15.17907
2022,1,CLE,BASELINE,2022-1-CLE,30,29.2727,-0.7273,1.83461
2022,1,CLE,Q8_BUDGET_SHRINK,2022-1-CLE,30,30.7598,0.7598,1.73014
2022,1,DAL,BASELINE,2022-1-DAL,41,38.0,-3.0,2.32176
2022,1,DAL,Q8_BUDGET_SHRINK,2022-1-DAL,41,36.4698,-4.5302,2.99426
2022,1,DEN,BASELINE,2022-1-DEN,41,33.4915,-7.5085,4.53525
2022,1,DEN,Q8_BUDGET_SHRINK,2022-1-DEN,41,33.52,-7.48,4.50834
2022,1,DET,BASELINE,2022-1-DET,37,33.2353,-3.7647,2.51939
2022,1,DET,Q8_BUDGET_SHRINK,2022-1-DET,37,33.3524,-3.6476,2.51193
2022,1,GB,BASELINE,2022-1-GB,35,32.4545,-2.5455,2.01675
2022,1,GB,Q8_BUDGET_SHRINK,2022-1-GB,35,32.8415,-2.1585,2.01531
2022,1,HOU,BASELINE,2022-1-HOU,36,33.4915,-2.5085,2.05646
2022,1,HOU,Q8_BUDGET_SHRINK,2022-1-HOU,36,33.52,-2.48,2.11811
2022,1,IND,BASELINE,2022-1-IND,49,31.4242,-17.5758,13.17099
2022,1,IND,Q8_BUDGET_SHRINK,2022-1-IND,49,32.1674,-16.8326,12.31258
2022,1,JAX,BASELINE,2022-1-JAX,38,35.0625,-2.9375,2.03935
2022,1,JAX,Q8_BUDGET_SHRINK,2022-1-JAX,38,34.5479,-3.4521,2.29858
2022,1,KC,BASELINE,2022-1-KC,39,37.8182,-1.1818,1.92004
2022,1,KC,Q8_BUDGET_SHRINK,2022-1-KC,39,36.3508,-2.6492,2.25859
2022,1,LA,BASELINE,2022-1-LA,41,35.2727,-5.7273,3.49566
2022,1,LA,Q8_BUDGET_SHRINK,2022-1-LA,41,34.6854,-6.3146,3.90643
2022,1,LAC,BASELINE,2022-1-LAC,34,38.7647,4.7647,3.11742
2022,1,LAC,Q8_BUDGET_SHRINK,2022-1-LAC,34,36.9701,2.9701,2.4191
2022,1,LV,BASELINE,2022-1-LV,35,33.4915,-1.5085,1.91975
2022,1,LV,Q8_BUDGET_SHRINK,2022-1-LV,35,33.52,-1.48,1.95663
2022,1,MIA,BASELINE,2022-1-MIA,31,33.4915,2.4915,2.19639
2022,1,MIA,Q8_BUDGET_SHRINK,2022-1-MIA,31,33.52,2.52,2.16721
2022,1,MIN,BASELINE,2022-1-MIN,31,33.4915,2.4915,2.21002
2022,1,MIN,Q8_BUDGET_SHRINK,2022-1-MIN,31,33.52,2.52,2.19233
2022,1,NE,BASELINE,2022-1-NE,30,28.6061,-1.3939,1.96221
2022,1,NE,Q8_BUDGET_SHRINK,2022-1-NE,30,30.3236,0.3236,1.94159
2022,1,NO,BASELINE,2022-1-NO,31,33.4915,2.4915,2.27758
2022,1,NO,Q8_BUDGET_SHRINK,2022-1-NO,31,33.52,2.52,2.24023
2022,1,NYG,BASELINE,2022-1-NYG,21,33.4915,12.4915,7.95801
2022,1,NYG,Q8_BUDGET_SHRINK,2022-1-NYG,21,33.52,12.52,7.95325
2022,1,NYJ,BASELINE,2022-1-NYJ,57,34.1765,-22.8235,17.62048
2022,1,NYJ,Q8_BUDGET_SHRINK,2022-1-NYJ,57,33.9682,-23.0318,18.1688
2022,1,PHI,BASELINE,2022-1-PHI,29,27.5294,-1.4706,2.03583
2022,1,PHI,Q8_BUDGET_SHRINK,2022-1-PHI,29,29.6191,0.6191,1.96155
2022,1,PIT,BASELINE,2022-1-PIT,37,39.5455,2.5455,2.31448
2022,1,PIT,Q8_BUDGET_SHRINK,2022-1-PIT,37,37.481,0.481,1.94704
2022,1,SEA,BASELINE,2022-1-SEA,27,30.6364,3.6364,2.775
2022,1,SEA,Q8_BUDGET_SHRINK,2022-1-SEA,27,31.6519,4.6519,3.21436
2022,1,SF,BASELINE,2022-1-SF,26,31.8485,5.8485,3.28466
2022,1,SF,Q8_BUDGET_SHRINK,2022-1-SF,26,32.445,6.445,3.66142
2022,1,TB,BASELINE,2022-1-TB,27,33.4915,6.4915,4.10384
2022,1,TB,Q8_BUDGET_SHRINK,2022-1-TB,27,33.52,6.52,4.01754
2022,1,TEN,BASELINE,2022-1-TEN,31,30.0,-1.0,1.97659
2022,1,TEN,Q8_BUDGET_SHRINK,2022-1-TEN,31,31.2356,0.2356,1.95689
2022,1,WAS,BASELINE,2022-1-WAS,41,33.5455,-7.4545,4.87215
2022,1,WAS,Q8_BUDGET_SHRINK,2022-1-WAS,41,33.5553,-7.4447,4.93048
2022,2,ARI,BASELINE,2022-2-ARI,47,33.8529,-13.1471,8.7733
2022,2,ARI,Q8_BUDGET_SHRINK,2022-2-ARI,47,33.7565,-13.2435,8.82587
2022,2,ATL,BASELINE,2022-2-ATL,25,32.5556,7.5556,4.25913
2022,2,ATL,Q8_BUDGET_SHRINK,2022-2-ATL,25,32.9076,7.9076,4.34718
2022,2,BAL,BASELINE,2022-2-BAL,29,29.7647,0.7647,1.89576
2022,2,BAL,Q8_BUDGET_SHRINK,2022-2-BAL,29,31.0816,2.0816,2.20516
2022,2,BUF,BASELINE,2022-2-BUF,39,36.0588,-2.9412,2.10754
2022,2,BUF,Q8_BUDGET_SHRINK,2022-2-BUF,39,35.1997,-3.8003,2.36741
2022,2,CAR,BASELINE,2022-2-CAR,27,33.1765,6.1765,3.8702
2022,2,CAR,Q8_BUDGET_SHRINK,2022-2-CAR,27,33.3139,6.3139,3.90397
2022,2,CHI,BASELINE,2022-2-CHI,11,33.4915,22.4915,18.01739
2022,2,CHI,Q8_BUDGET_SHRINK,2022-2-CHI,11,33.52,22.52,17.93143
2022,2,CIN,BASELINE,2022-2-CIN,35,34.0882,-0.9118,1.96665
2022,2,CIN,Q8_BUDGET_SHRINK,2022-2-CIN,35,33.9104,-1.0896,2.02062
2022,2,CLE,BASELINE,2022-2-CLE,27,29.2941,2.2941,1.98784
2022,2,CLE,Q8_BUDGET_SHRINK,2022-2-CLE,27,30.7737,3.7737,2.33528
2022,2,DAL,BASELINE,2022-2-DAL,30,38.0882,8.0882,4.64113
2022,2,DAL,Q8_BUDGET_SHRINK,2022-2-DAL,30,36.5275,6.5275,3.59943
2022,2,DEN,BASELINE,2022-2-DEN,28,33.4915,5.4915,3.70554
2022,2,DEN,Q8_BUDGET_SHRINK,2022-2-DEN,28,33.52,5.52,3.66005
2022,2,DET,BASELINE,2022-2-DET,34,33.4444,-0.5556,1.85179
2022,2,DET,Q8_BUDGET_SHRINK,2022-2-DET,34,33.4892,-0.5108,1.87945
2022,2,GB,BASELINE,2022-2-GB,25,32.5294,7.5294,4.38786
2022,2,GB,Q8_BUDGET_SHRINK,2022-2-GB,25,32.8905,7.8905,4.47878
2022,2,HOU,BASELINE,2022-2-HOU,37,33.4915,-3.5085,2.7653
2022,2,HOU,Q8_BUDGET_SHRINK,2022-2-HOU,37,33.52,-3.48,2.75656
2022,2,IND,BASELINE,2022-2-IND,29,31.9412,2.9412,2.40242
2022,2,IND,Q8_BUDGET_SHRINK,2022-2-IND,29,32.5057,3.5057,2.63366
2022,2,JAX,BASELINE,2022-2-JAX,30,35.2353,5.2353,3.4248
2022,2,JAX,Q8_BUDGET_SHRINK,2022-2-JAX,30,34.6609,4.6609,3.05003
2022,2,KC,BASELINE,2022-2-KC,34,37.8529,3.8529,2.72289
2022,2,KC,Q8_BUDGET_SHRINK,2022-2-KC,34,36.3736,2.3736,2.22426
2022,2,LA,BASELINE,2022-2-LA,35,35.4412,0.4412,1.83336
2022,2,LA,Q8_BUDGET_SHRINK,2022-2-LA,35,34.7956,-0.2044,1.73342
2022,2,LAC,BASELINE,2022-2-LAC,46,38.5,-7.5,4.95909
2022,2,LAC,Q8_BUDGET_SHRINK,2022-2-LAC,46,36.7969,-9.2031,6.31693
2022,2,LV,BASELINE,2022-2-LV,39,33.4915,-5.5085,3.71085
2022,2,LV,Q8_BUDGET_SHRINK,2022-2-LV,39,33.52,-5.48,3.71864
2022,2,MIA,BASELINE,2022-2-MIA,50,33.4915,-16.5085,12.43623
2022,2,MIA,Q8_BUDGET_SHRINK,2022-2-MIA,50,33.52,-16.48,12.419
2022,2,MIN,BASELINE,2022-2-MIN,45,33.4915,-11.5085,7.74037
2022,2,MIN,Q8_BUDGET_SHRINK,2022-2-MIN,45,33.52,-11.48,7.74796
2022,2,NE,BASELINE,2022-2-NE,34,28.6471,-5.3529,3.15295
2022,2,NE,Q8_BUDGET_SHRINK,2022-2-NE,34,30.3504,-3.6496,2.37657
2022,2,NO,BASELINE,2022-2-NO,40,33.4915,-6.5085,4.17994
2022,2,NO,Q8_BUDGET_SHRINK,2022-2-NO,40,33.52,-6.48,4.24488
2022,2,NYG,BASELINE,2022-2-NYG,32,33.4915,1.4915,2.09969
2022,2,NYG,Q8_BUDGET_SHRINK,2022-2-NYG,32,33.52,1.52,2.06916
2022,2,NYJ,BASELINE,2022-2-NYJ,43,35.4444,-7.5556,4.81621
2022,2,NYJ,Q8_BUDGET_SHRINK,2022-2-NYJ,43,34.7978,-8.2022,5.44213
2022,2,PHI,BASELINE,2022-2-PHI,31,27.6111,-3.3889,2.73861
2022,2,PHI,Q8_BUDGET_SHRINK,2022-2-PHI,31,29.6726,-1.3274,2.05232
2022,2,PIT,BASELINE,2022-2-PIT,32,39.4706,7.4706,3.91448
2022,2,PIT,Q8_BUDGET_SHRINK,2022-2-PIT,32,37.432,5.432,2.85509
2022,2,SEA,BASELINE,2022-2-SEA,30,30.5294,0.5294,1.84801
2022,2,SEA,Q8_BUDGET_SHRINK,2022-2-SEA,30,31.582,1.582,1.93676
2022,2,SF,BASELINE,2022-2-SF,24,31.6765,7.6765,4.53669
2022,2,SF,Q8_BUDGET_SHRINK,2022-2-SF,24,32.3325,8.3325,5.03729
2022,2,TB,BASELINE,2022-2-TB,33,33.4915,0.4915,1.99704
