season,week,team,arm,team_game,actual_team_targets,mean_budget_drawn,max_reconciliation_error,n_players
2022,1,ARI,BASELINE,2022-1-ARI,36,33.8825,0.0,21
2022,1,ARI,Q9_HURDLE,2022-1-ARI,36,33.9175,0.0,21
2022,1,ATL,BASELINE,2022-1-ATL,32,32.69,0.0,24
2022,1,ATL,Q9_HURDLE,2022-1-ATL,32,31.6775,0.0,24
2022,1,BAL,BASELINE,2022-1-BAL,29,30.215,0.0,22
2022,1,BAL,Q9_HURDLE,2022-1-BAL,29,30.3,0.0,22
2022,1,BUF,BASELINE,2022-1-BUF,31,35.705,0.0,18
2022,1,BUF,Q9_HURDLE,2022-1-BUF,31,36.4925,0.0,18
2022,1,CAR,BASELINE,2022-1-CAR,26,33.21,0.0,22
2022,1,CAR,Q9_HURDLE,2022-1-CAR,26,33.785,0.0,22
2022,1,CHI,BASELINE,2022-1-CHI,17,33.445,0.0,25
2022,1,CHI,Q9_HURDLE,2022-1-CHI,17,33.3375,0.0,25
2022,1,CIN,BASELINE,2022-1-CIN,53,33.5675,0.0,16
2022,1,CIN,Q9_HURDLE,2022-1-CIN,53,32.8325,0.0,16
2022,1,CLE,BASELINE,2022-1-CLE,30,29.5725,0.0,18
2022,1,CLE,Q9_HURDLE,2022-1-CLE,30,29.2375,0.0,18
2022,1,DAL,BASELINE,2022-1-DAL,41,37.795,0.0,22
2022,1,DAL,Q9_HURDLE,2022-1-DAL,41,37.7075,0.0,22
2022,1,DEN,BASELINE,2022-1-DEN,41,33.5625,0.0,19
2022,1,DEN,Q9_HURDLE,2022-1-DEN,41,34.09,0.0,19
2022,1,DET,BASELINE,2022-1-DET,37,33.0225,0.0,20
2022,1,DET,Q9_HURDLE,2022-1-DET,37,32.6925,0.0,20
2022,1,GB,BASELINE,2022-1-GB,35,32.74,0.0,19
2022,1,GB,Q9_HURDLE,2022-1-GB,35,32.02,0.0,19
2022,1,HOU,BASELINE,2022-1-HOU,36,33.4975,0.0,21
2022,1,HOU,Q9_HURDLE,2022-1-HOU,36,33.3925,0.0,21
2022,1,IND,BASELINE,2022-1-IND,49,30.62,0.0,16
2022,1,IND,Q9_HURDLE,2022-1-IND,49,31.6225,0.0,16
2022,1,JAX,BASELINE,2022-1-JAX,38,35.395,0.0,27
2022,1,JAX,Q9_HURDLE,2022-1-JAX,38,35.6075,0.0,27
2022,1,KC,BASELINE,2022-1-KC,39,37.475,0.0,21
2022,1,KC,Q9_HURDLE,2022-1-KC,39,37.6325,0.0,21
2022,1,LA,BASELINE,2022-1-LA,41,34.84,0.0,16
2022,1,LA,Q9_HURDLE,2022-1-LA,41,35.1875,0.0,16
2022,1,LAC,BASELINE,2022-1-LAC,34,38.08,0.0,22
2022,1,LAC,Q9_HURDLE,2022-1-LAC,34,38.9075,0.0,22
2022,1,LV,BASELINE,2022-1-LV,35,33.035,0.0,24
2022,1,LV,Q9_HURDLE,2022-1-LV,35,33.305,0.0,24
2022,1,MIA,BASELINE,2022-1-MIA,31,32.725,0.0,25
2022,1,MIA,Q9_HURDLE,2022-1-MIA,31,33.505,0.0,25
2022,1,MIN,BASELINE,2022-1-MIN,31,33.9375,0.0,19
