season,week,team,game_id,side,arm,actual_room_dropbacks,actual_room_attempts,actual_room_pass_yards,actual_ypa,pred_room_dropbacks,pred_room_attempts,pred_room_pass_yards,pred_ypa,crps_room_dropbacks,crps_room_attempts,crps_room_pass_yards,err_volume_dropbacks,err_volume_attempts,err_efficiency_ypa,err_final_pass_yards,offsetting
2022,1,ARI,2022_01_KC_ARI,home,BASELINE,43.0,40.0,205.0,5.125,37.9703,35.6556,256.2233,7.19277,3.20036,2.92675,27.10214,-5.0297,-4.3444,2.06777,51.2233,1
2022,1,ARI,2022_01_KC_ARI,home,TRACK1,43.0,40.0,205.0,5.125,39.0301,36.6505,263.4384,7.19277,2.83475,2.56043,30.86442,-3.9699,-3.3495,2.06777,58.4384,1
2022,1,ARI,2022_01_KC_ARI,home,TRACK1_MEAN,43.0,40.0,205.0,5.125,39.1127,36.7278,264.02,7.19277,2.70983,2.49658,30.78297,-3.8873,-3.2722,2.06777,59.02,1
2022,1,ATL,2022_01_NO_ATL,home,BASELINE,32.0,32.0,215.0,6.71875,35.2309,33.0314,241.4556,7.29446,2.31818,1.90625,21.21261,3.2309,1.0314,0.57571,26.4556,0
2022,1,ATL,2022_01_NO_ATL,home,TRACK1,32.0,32.0,215.0,6.71875,36.0727,33.8251,247.2053,7.29446,2.74224,2.11171,23.12139,4.0727,1.8251,0.57571,32.2053,0
2022,1,ATL,2022_01_NO_ATL,home,TRACK1_MEAN,32.0,32.0,215.0,6.71875,36.1071,33.8525,247.4071,7.29446,2.61146,1.98194,22.31067,4.1071,1.8525,0.57571,32.4071,0
2022,1,BAL,2022_01_BAL_NYJ,away,BASELINE,32.0,30.0,213.0,7.1,36.1834,33.8759,245.95,7.2548,2.70476,2.5337,22.20167,4.1834,3.8759,0.1548,32.95,0
2022,1,BAL,2022_01_BAL_NYJ,away,TRACK1,32.0,30.0,213.0,7.1,35.4979,33.2246,241.378,7.2548,2.74133,2.53108,22.14634,3.4979,3.2246,0.1548,28.378,0
2022,1,BAL,2022_01_BAL_NYJ,away,TRACK1_MEAN,32.0,30.0,213.0,7.1,35.5501,33.2821,241.618,7.2548,2.49957,2.33992,21.27088,3.5501,3.2821,0.1548,28.618,0
2022,1,BUF,2022_01_BUF_LA,away,BASELINE,33.0,31.0,297.0,9.58065,40.329,37.8946,274.4776,7.23658,4.19577,3.91261,24.40173,7.329,6.8946,-2.34406,-22.5224,1
2022,1,BUF,2022_01_BUF_LA,away,TRACK1,33.0,31.0,297.0,9.58065,39.6799,37.2877,270.5114,7.23658,3.94574,3.70311,26.73816,6.6799,6.2877,-2.34406,-26.4886,1
2022,1,BUF,2022_01_BUF_LA,away,TRACK1_MEAN,33.0,31.0,297.0,9.58065,39.801,37.3977,271.054,7.23658,3.8981,3.66102,25.54417,6.801,6.3977,-2.34406,-25.946,1
2022,1,CAR,2022_01_CLE_CAR,home,BASELINE,31.0,27.0,235.0,8.7037,37.9622,35.638,255.9647,7.18822,3.9604,5.12681,20.09763,6.9622,8.638,-1.51549,20.9647,1
2022,1,CAR,2022_01_CLE_CAR,home,TRACK1,31.0,27.0,235.0,8.7037,38.8301,36.4555,261.9712,7.18822,4.46649,5.51713,21.8273,7.8301,9.4555,-1.51549,26.9712,1
2022,1,CAR,2022_01_CLE_CAR,home,TRACK1_MEAN,31.0,27.0,235.0,8.7037,38.892,36.5135,262.237,7.18822,4.5726,5.80545,21.22886,7.892,9.5135,-1.51549,27.237,1
2022,1,CHI,2022_01_SF_CHI,home,BASELINE,19.0,17.0,121.0,7.11765,36.956,34.6476,253.7662,7.31088,13.50743,13.33464,86.72363,17.956,17.6476,0.19323,132.7662,0
2022,1,CHI,2022_01_SF_CHI,home,TRACK1,19.0,17.0,121.0,7.11765,37.716,35.3604,259.2369,7.31088,13.65219,13.46562,88.62258,18.716,18.3604,0.19323,138.2369,0
2022,1,CHI,2022_01_SF_CHI,home,TRACK1_MEAN,19.0,17.0,121.0,7.11765,37.6987,35.3439,258.8301,7.31088,14.19871,13.98266,91.02127,18.6987,18.3439,0.19323,137.8301,0
2022,1,CIN,2022_01_PIT_CIN,home,BASELINE,61.0,54.0,338.0,6.25926,37.074,34.7521,250.1437,7.19587,19.22057,14.82026,57.23218,-23.926,-19.2479,0.93661,-87.8563,1
2022,1,CIN,2022_01_PIT_CIN,home,TRACK1,61.0,54.0,338.0,6.25926,36.0718,33.8189,243.3965,7.19587,19.54466,15.16589,61.30722,-24.9282,-20.1811,0.93661,-94.6035,1
2022,1,CIN,2022_01_PIT_CIN,home,TRACK1_MEAN,61.0,54.0,338.0,6.25926,36.1317,33.8673,243.8257,7.19587,20.10842,15.64597,61.67955,-24.8683,-20.1327,0.93661,-94.1743,1
2022,1,CLE,2022_01_CLE_CAR,away,BASELINE,33.0,32.0,147.0,4.59375,33.1637,31.0887,225.4006,7.25533,1.94603,1.91586,43.42582,0.1637,-0.9113,2.66158,78.4006,1
2022,1,CLE,2022_01_CLE_CAR,away,TRACK1,33.0,32.0,147.0,4.59375,32.4604,30.4257,220.745,7.25533,2.19398,2.1816,39.98423,-0.5396,-1.5743,2.66158,73.745,1
2022,1,CLE,2022_01_CLE_CAR,away,TRACK1_MEAN,33.0,32.0,147.0,4.59375,32.3367,30.313,219.7919,7.25533,1.95453,2.01948,39.8319,-0.6633,-1.687,2.66158,72.7919,1
2022,1,DAL,2022_01_TB_DAL,home,BASELINE,46.0,42.0,198.0,4.71429,40.6443,38.1644,273.653,7.16932,3.28923,2.57898,40.4733,-5.3557,-3.8356,2.45504,75.653,1
2022,1,DAL,2022_01_TB_DAL,home,TRACK1,46.0,42.0,198.0,4.71429,40.1454,37.6969,270.3199,7.16932,3.67384,2.95335,38.0422,-5.8546,-4.3031,2.45504,72.3199,1
2022,1,DAL,2022_01_TB_DAL,home,TRACK1_MEAN,46.0,42.0,198.0,4.71429,40.0992,37.652,269.8623,7.16932,3.61045,2.79877,38.29511,-5.9008,-4.348,2.45504,71.8623,1
2022,1,DEN,2022_01_DEN_SEA,away,BASELINE,44.0,42.0,340.0,8.09524,37.1871,34.8531,254.3418,7.29762,4.34086,4.57668,57.02645,-6.8129,-7.1469,-0.79762,-85.6582,0
2022,1,DEN,2022_01_DEN_SEA,away,TRACK1,44.0,42.0,340.0,8.09524,38.0863,35.6813,260.3553,7.29762,3.80502,3.99421,53.86422,-5.9137,-6.3187,-0.79762,-79.6447,0
2022,1,DEN,2022_01_DEN_SEA,away,TRACK1_MEAN,44.0,42.0,340.0,8.09524,38.3298,35.9218,262.164,7.29762,3.71452,3.9282,52.14132,-5.6702,-6.0782,-0.79762,-77.836,0
2022,1,DET,2022_01_PHI_DET,home,BASELINE,38.0,37.0,215.0,5.81081,35.9906,33.7891,243.4188,7.22658,2.19847,2.45054,20.60458,-2.0094,-3.2109,1.41577,28.4188,1
2022,1,DET,2022_01_PHI_DET,home,TRACK1,38.0,37.0,215.0,5.81081,36.7087,34.4666,248.4795,7.22658,2.23883,2.40632,23.02519,-1.2913,-2.5334,1.41577,33.4795,1
2022,1,DET,2022_01_PHI_DET,home,TRACK1_MEAN,38.0,37.0,215.0,5.81081,36.7194,34.4744,248.3082,7.22658,2.05303,2.2576,21.77751,-1.2806,-2.5256,1.41577,33.3082,1
2022,1,GB,2022_01_GB_MIN,away,BASELINE,42.0,38.0,260.0,6.84211,34.9156,32.8542,237.4408,7.2253,4.26743,3.18239,24.50542,-7.0844,-5.1458,0.38319,-22.5592,1
2022,1,GB,2022_01_GB_MIN,away,TRACK1,42.0,38.0,260.0,6.84211,34.6317,32.572,235.1528,7.2253,4.48289,3.40487,25.70102,-7.3683,-5.428,0.38319,-24.8472,1
2022,1,GB,2022_01_GB_MIN,away,TRACK1_MEAN,42.0,38.0,260.0,6.84211,34.4288,32.3955,234.1281,7.2253,4.59458,3.43317,25.38391,-7.5712,-5.6045,0.38319,-25.8719,1
2022,1,HOU,2022_01_IND_HOU,home,BASELINE,40.0,37.0,240.0,6.48649,37.2356,34.9267,250.554,7.17667,2.37015,2.10774,18.80077,-2.7644,-2.0733,0.69018,10.554,1
2022,1,HOU,2022_01_IND_HOU,home,TRACK1,40.0,37.0,240.0,6.48649,38.1885,35.8277,257.3548,7.17667,2.4345,2.22755,20.9245,-1.8115,-1.1723,0.69018,17.3548,1
2022,1,HOU,2022_01_IND_HOU,home,TRACK1_MEAN,40.0,37.0,240.0,6.48649,38.2914,35.9163,257.668,7.17667,2.14018,1.97018,19.76496,-1.7086,-1.0837,0.69018,17.668,1
2022,1,IND,2022_01_IND_HOU,away,BASELINE,52.0,50.0,352.0,7.04,33.9084,31.7767,231.1318,7.28023,13.43902,13.74602,84.30146,-18.0916,-18.2233,0.24023,-120.8682,1
2022,1,IND,2022_01_IND_HOU,away,TRACK1,52.0,50.0,352.0,7.04,32.8723,30.7965,223.7332,7.28023,14.0051,14.31956,89.82599,-19.1277,-19.2035,0.24023,-128.2668,1
2022,1,IND,2022_01_IND_HOU,away,TRACK1_MEAN,52.0,50.0,352.0,7.04,32.9017,30.8347,224.2517,7.28023,14.34352,14.58703,90.40702,-19.0983,-19.1653,0.24023,-127.7483,1
2022,1,JAX,2022_01_JAX_WAS,away,BASELINE,45.0,43.0,275.0,6.39535,42.5146,39.8465,284.1505,7.14372,2.34164,2.50314,20.90896,-2.4854,-3.1535,0.74837,9.1505,1
2022,1,JAX,2022_01_JAX_WAS,away,TRACK1,45.0,43.0,275.0,6.39535,43.8941,41.1313,293.71,7.14372,2.27457,2.29455,22.98423,-1.1059,-1.8687,0.74837,18.71,1
2022,1,JAX,2022_01_JAX_WAS,away,TRACK1_MEAN,45.0,43.0,275.0,6.39535,43.8119,41.0612,292.8772,7.14372,2.04348,2.13975,21.63712,-1.1881,-1.9388,0.74837,17.8772,1
2022,1,KC,2022_01_KC_ARI,away,BASELINE,39.0,39.0,360.0,9.23077,42.0382,39.5343,284.896,7.2057,2.36692,1.88349,49.43703,3.0382,0.5343,-2.02506,-75.104,1
2022,1,KC,2022_01_KC_ARI,away,TRACK1,39.0,39.0,360.0,9.23077,40.7079,38.2835,275.9858,7.2057,2.32853,2.16282,56.06739,1.7079,-0.7165,-2.02506,-84.0142,0
2022,1,KC,2022_01_KC_ARI,away,TRACK1_MEAN,39.0,39.0,360.0,9.23077,40.8429,38.4123,276.8095,7.2057,2.07043,1.89344,54.35602,1.8429,-0.5877,-2.02506,-83.1905,0
2022,1,LA,2022_01_BUF_LA,home,BASELINE,48.0,41.0,240.0,5.85366,37.1708,34.9332,250.9259,7.20015,6.95642,3.70414,19.03874,-10.8292,-6.0668,1.34649,10.9259,1
2022,1,LA,2022_01_BUF_LA,home,TRACK1,48.0,41.0,240.0,5.85366,37.5902,35.3284,253.4086,7.20015,6.48733,3.63794,20.32785,-10.4098,-5.6716,1.34649,13.4086,1
2022,1,LA,2022_01_BUF_LA,home,TRACK1_MEAN,48.0,41.0,240.0,5.85366,37.6837,35.4124,254.3021,7.20015,6.5463,3.47672,19.28529,-10.3163,-5.5876,1.34649,14.3021,1
2022,1,LAC,2022_01_LV_LAC,home,BASELINE,34.0,34.0,279.0,8.20588,41.9469,39.2653,285.989,7.28531,4.5056,3.03311,21.90244,7.9469,5.2653,-0.92058,6.989,1
2022,1,LAC,2022_01_LV_LAC,home,TRACK1,34.0,34.0,279.0,8.20588,40.5823,37.9925,276.6054,7.28531,3.78199,2.75507,23.94865,6.5823,3.9925,-0.92058,-2.3946,1
2022,1,LAC,2022_01_LV_LAC,home,TRACK1_MEAN,34.0,34.0,279.0,8.20588,40.9504,38.3331,279.1286,7.28531,3.92919,2.67771,22.16208,6.9504,4.3331,-0.92058,0.1286,1
2022,1,LV,2022_01_LV_LAC,away,BASELINE,44.0,38.0,295.0,7.76316,37.1072,34.788,250.1871,7.19359,4.12644,2.28586,33.25542,-6.8928,-3.212,-0.56957,-44.8129,0
2022,1,LV,2022_01_LV_LAC,away,TRACK1,44.0,38.0,295.0,7.76316,37.8764,35.5006,255.5865,7.19359,3.68891,2.25815,31.51092,-6.1236,-2.4994,-0.56957,-39.4135,0
2022,1,LV,2022_01_LV_LAC,away,TRACK1_MEAN,44.0,38.0,295.0,7.76316,37.9331,35.5625,255.7324,7.19359,3.68876,2.07137,31.1984,-6.0669,-2.4375,-0.56957,-39.2676,0
2022,1,MIA,2022_01_NE_MIA,home,BASELINE,36.0,33.0,270.0,8.18182,36.6333,34.3876,246.3542,7.19164,1.91452,1.8789,23.6043,0.6333,1.3876,-0.99018,-23.6458,1
2022,1,MIA,2022_01_NE_MIA,home,TRACK1,36.0,33.0,270.0,8.18182,37.0784,34.8127,249.2845,7.19164,2.1579,2.17768,23.43315,1.0784,1.8127,-0.99018,-20.7155,1
2022,1,MIA,2022_01_NE_MIA,home,TRACK1_MEAN,36.0,33.0,270.0,8.18182,37.1448,34.8691,249.7833,7.19164,1.9311,1.93674,22.62088,1.1448,1.8691,-0.99018,-20.2167,1
2022,1,MIN,2022_01_GB_MIN,home,BASELINE,33.0,32.0,277.0,8.65625,36.9296,34.5637,251.845,7.29619,2.6252,2.16868,24.592,3.9296,2.5637,-1.36006,-25.155,1
2022,1,MIN,2022_01_GB_MIN,home,TRACK1,33.0,32.0,277.0,8.65625,37.5924,35.191,256.5234,7.29619,3.12436,2.58608,24.79973,4.5924,3.191,-1.36006,-20.4766,1
2022,1,MIN,2022_01_GB_MIN,home,TRACK1_MEAN,33.0,32.0,277.0,8.65625,37.4959,35.0941,255.752,7.29619,2.86241,2.31943,23.52174,4.4959,3.0941,-1.36006,-21.248,1
2022,1,NE,2022_01_NE_MIA,away,BASELINE,32.0,30.0,213.0,7.1,31.0968,29.1679,213.6189,7.34142,1.98625,1.87758,17.89816,-0.9032,-0.8321,0.24142,0.6189,1
2022,1,NE,2022_01_NE_MIA,away,TRACK1,32.0,30.0,213.0,7.1,30.7653,28.8602,211.2506,7.34142,2.20616,2.14053,19.2047,-1.2347,-1.1398,0.24142,-1.7494,1
2022,1,NE,2022_01_NE_MIA,away,TRACK1_MEAN,32.0,30.0,213.0,7.1,30.6698,28.7674,210.7231,7.34142,2.04768,1.94223,18.14297,-1.3302,-1.2326,0.24142,-2.2769,1
2022,1,NO,2022_01_NO_ATL,away,BASELINE,37.0,33.0,269.0,8.15152,36.4429,34.1761,247.5334,7.2559,1.89414,1.85855,24.44436,-0.5571,1.1761,-0.89561,-21.4666,1
2022,1,NO,2022_01_NO_ATL,away,TRACK1,37.0,33.0,269.0,8.15152,35.3176,33.1338,240.2366,7.2559,2.31279,2.01739,28.29872,-1.6824,0.1338,-0.89561,-28.7634,1
2022,1,NO,2022_01_NO_ATL,away,TRACK1_MEAN,37.0,33.0,269.0,8.15152,35.54,33.3304,241.3186,7.2559,1.94744,1.81215,26.25705,-1.46,0.3304,-0.89561,-27.6814,1
2022,1,NYG,2022_01_NYG_TEN,away,BASELINE,27.0,22.0,188.0,8.54545,37.4439,35.1437,251.5573,7.15019,6.41358,8.85714,34.56612,10.4439,13.1437,-1.39526,63.5573,1
2022,1,NYG,2022_01_NYG_TEN,away,TRACK1,27.0,22.0,188.0,8.54545,39.8696,37.4167,267.5239,7.15019,8.41436,10.77117,43.57342,12.8696,15.4167,-1.39526,79.5239,1
2022,1,NYG,2022_01_NYG_TEN,away,TRACK1_MEAN,27.0,22.0,188.0,8.54545,39.816,37.3657,267.3392,7.15019,8.45626,10.95041,43.9512,12.816,15.3657,-1.39526,79.3392,1
2022,1,NYJ,2022_01_BAL_NYJ,home,BASELINE,62.0,59.0,309.0,5.23729,37.9295,35.6397,259.0928,7.27412,19.39753,18.91402,34.945,-24.0705,-23.3603,2.03683,-49.9072,1
2022,1,NYJ,2022_01_BAL_NYJ,home,TRACK1,62.0,59.0,309.0,5.23729,38.588,36.2618,263.4307,7.27412,18.2346,17.80728,33.12731,-23.412,-22.7382,2.03683,-45.5693,1
2022,1,NYJ,2022_01_BAL_NYJ,home,TRACK1_MEAN,62.0,59.0,309.0,5.23729,38.6301,36.2977,263.7986,7.27412,18.6573,18.21756,32.79483,-23.3699,-22.7023,2.03683,-45.2014,1
2022,1,PHI,2022_01_PHI_DET,away,BASELINE,33.0,32.0,243.0,7.59375,32.0773,30.2238,218.0604,7.21627,1.96319,1.99178,23.55313,-0.9227,-1.7762,-0.37748,-24.9396,0
2022,1,PHI,2022_01_PHI_DET,away,TRACK1,33.0,32.0,243.0,7.59375,31.4166,29.5997,213.547,7.21627,2.23989,2.27174,25.59592,-1.5834,-2.4003,-0.37748,-29.453,0
2022,1,PHI,2022_01_PHI_DET,away,TRACK1_MEAN,33.0,32.0,243.0,7.59375,31.383,29.5701,213.3232,7.21627,2.04698,2.13906,25.12581,-1.617,-2.4299,-0.37748,-29.6768,0
2022,1,PIT,2022_01_PIT_CIN,away,BASELINE,38.0,37.0,194.0,5.24324,39.5949,37.2436,270.7893,7.26617,2.04808,1.8747,40.57441,1.5949,0.2436,2.02293,76.7893,0
2022,1,PIT,2022_01_PIT_CIN,away,TRACK1,38.0,37.0,194.0,5.24324,40.6934,38.2805,278.3587,7.26617,2.43628,2.17618,45.11533,2.6934,1.2805,2.02293,84.3587,0
2022,1,PIT,2022_01_PIT_CIN,away,TRACK1_MEAN,38.0,37.0,194.0,5.24324,40.5961,38.1863,277.7419,7.26617,2.18956,1.9181,44.84937,2.5961,1.1863,2.02293,83.7419,0
2022,1,SEA,2022_01_DEN_SEA,home,BASELINE,30.0,28.0,195.0,6.96429,35.7389,33.6221,249.6291,7.42853,3.28231,3.18363,28.8955,5.7389,5.6221,0.46425,54.6291,0
2022,1,SEA,2022_01_DEN_SEA,home,TRACK1,30.0,28.0,195.0,6.96429,34.7201,32.6615,242.1818,7.42853,2.98275,2.91329,26.61593,4.7201,4.6615,0.46425,47.1818,0
2022,1,SEA,2022_01_DEN_SEA,home,TRACK1_MEAN,30.0,28.0,195.0,6.96429,34.6383,32.5847,241.9696,7.42853,2.82638,2.74666,25.87096,4.6383,4.5847,0.46425,46.9696,0
2022,1,SF,2022_01_SF_CHI,away,BASELINE,30.0,28.0,164.0,5.85714,34.477,32.3668,234.4125,7.23703,2.76161,2.67494,36.46545,4.477,4.3668,1.37989,70.4125,0
2022,1,SF,2022_01_SF_CHI,away,TRACK1,30.0,28.0,164.0,5.85714,33.6447,31.5926,228.7214,7.23703,2.65778,2.54327,33.08515,3.6447,3.5926,1.37989,64.7214,0
2022,1,SF,2022_01_SF_CHI,away,TRACK1_MEAN,30.0,28.0,164.0,5.85714,33.7562,31.6968,229.5635,7.23703,2.53743,2.46625,33.62876,3.7562,3.6968,1.37989,65.5635,0
2022,1,TB,2022_01_TB_DAL,away,BASELINE,29.0,27.0,212.0,7.85185,36.8658,34.5296,248.163,7.18818,4.62512,4.44682,21.98318,7.8658,7.5296,-0.66368,36.163,1
2022,1,TB,2022_01_TB_DAL,away,TRACK1,29.0,27.0,212.0,7.85185,37.378,35.0074,251.8596,7.18818,4.93951,4.6732,24.42366,8.378,8.0074,-0.66368,39.8596,1
2022,1,TB,2022_01_TB_DAL,away,TRACK1_MEAN,29.0,27.0,212.0,7.85185,37.3666,34.998,251.6579,7.18818,4.97731,4.75952,23.25687,8.3666,7.998,-0.66368,39.6579,1
2022,1,TEN,2022_01_NYG_TEN,home,BASELINE,33.0,32.0,266.0,8.3125,33.2575,31.2198,229.2381,7.3302,1.92979,1.94827,28.78244,0.2575,-0.7802,-0.9823,-36.7619,0
2022,1,TEN,2022_01_NYG_TEN,home,TRACK1,33.0,32.0,266.0,8.3125,31.2463,29.3344,215.4227,7.3302,2.20524,2.33538,35.60366,-1.7537,-2.6656,-0.9823,-50.5773,0
2022,1,TEN,2022_01_NYG_TEN,home,TRACK1_MEAN,33.0,32.0,266.0,8.3125,31.1112,29.2046,214.4349,7.3302,2.112,2.31733,35.96184,-1.8888,-2.7954,-0.9823,-51.5651,0
2022,1,WAS,2022_01_JAX_WAS,home,BASELINE,44.0,43.0,313.0,7.27907,37.3686,35.1509,255.9503,7.28961,3.95713,4.76236,38.9156,-6.6314,-7.8491,0.01054,-57.0497,1
2022,1,WAS,2022_01_JAX_WAS,home,TRACK1,44.0,43.0,313.0,7.27907,36.2587,34.1038,248.5675,7.28961,4.74508,5.53708,44.39615,-7.7413,-8.8962,0.01054,-64.4325,1
2022,1,WAS,2022_01_JAX_WAS,home,TRACK1_MEAN,44.0,43.0,313.0,7.27907,36.1833,34.0366,247.7734,7.28961,4.69924,5.55133,43.27317,-7.8167,-8.9634,0.01054,-65.2266,1
2022,2,ARI,2022_02_ARI_LV,away,BASELINE,51.0,50.0,277.0,5.54,38.4349,36.0824,258.7761,7.18679,8.46489,9.75441,22.74284,-12.5651,-13.9176,1.64679,-18.2239,1
2022,2,ARI,2022_02_ARI_LV,away,TRACK1,51.0,50.0,277.0,5.54,38.7874,36.4028,261.3452,7.18679,7.83124,9.12768,23.92582,-12.2126,-13.5972,1.64679,-15.6548,1
2022,2,ARI,2022_02_ARI_LV,away,TRACK1_MEAN,51.0,50.0,277.0,5.54,38.6988,36.3297,260.5789,7.18679,8.20999,9.51308,22.62567,-12.3012,-13.6703,1.64679,-16.4211,1
2022,2,ATL,2022_02_ATL_LA,away,BASELINE,30.0,27.0,196.0,7.25926,35.4027,33.1245,241.026,7.27245,3.28065,3.58565,25.89433,5.4027,6.1245,0.01319,45.026,0
2022,2,ATL,2022_02_ATL_LA,away,TRACK1,30.0,27.0,196.0,7.25926,36.2687,33.9402,246.9664,7.27245,3.7043,4.0205,28.46581,6.2687,6.9402,0.01319,50.9664,0
2022,2,ATL,2022_02_ATL_LA,away,TRACK1_MEAN,30.0,27.0,196.0,7.25926,36.389,34.0474,247.7724,7.27245,3.76723,4.09755,28.71371,6.389,7.0474,0.01319,51.7724,0
2022,2,BAL,2022_02_MIA_BAL,home,BASELINE,29.0,29.0,318.0,10.96552,35.7002,33.6005,244.896,7.28784,3.86074,2.75974,48.81676,6.7002,4.6005,-3.67768,-73.104,1
2022,2,BAL,2022_02_MIA_BAL,home,TRACK1,29.0,29.0,318.0,10.96552,35.7569,33.6545,245.7154,7.28784,3.95135,2.9091,48.84057,6.7569,4.6545,-3.67768,-72.2846,1
2022,2,BAL,2022_02_MIA_BAL,home,TRACK1_MEAN,29.0,29.0,318.0,10.96552,35.803,33.6983,245.5836,7.28784,3.95081,2.83957,48.27409,6.803,4.6983,-3.67768,-72.4164,1
