game_id,kickoff_utc,player,gsis_id,team,position,metric,layer,forecast_stage,seal_written_at,run_id,role_tier,model_mean,model_median,q10,q25,q50,q75,q90,actual,actual_basis,absence_class,forecast_minus_actual,abs_error,pct_error,pit,in_50,in_80,in_90,crps,n_draws,completeness,qb3_configuration,qb3_contaminated,qb3_contamination_basis,outcome_sha256,season,week,seal_rank,seal_dir,depth_chart,depth_rank,starter_or_backup,opportunity_metric,p_participate_model,opportunity_actual,opportunity_actual_basis,participated_actual,model_mean_conditional_on_participation,p_metric_nonzero_model,injury_state,on_official_inactive_list,injury_report_status,season_boundary,n_own_prior_games,prior_history_bucket,prior_history_basis,sq_error
2026_01_ATL_PIT,2026-09-13T17:00:00Z,A.Rodgers,00-0023459,PIT,QB,qb/att,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,32.506,34.0,16.9,26.0,34.0,41.0,47.0,40.0,OBSERVED,ZERO_IF_ABSENT,-7.494,7.494,-18.735,0.722433,True,True,True,3.941424,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.927,42.0,OBSERVED,1,35.0658,0.927,NOT_ON_REPORT,0,,1,83,ESTABLISHED_5PLUS,qb,56.160036
2026_01_ATL_PIT,2026-09-13T17:00:00Z,A.Rodgers,00-0023459,PIT,QB,qb/cmp,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,21.126,22.0,10.0,17.0,22.0,27.0,32.0,24.0,OBSERVED,ZERO_IF_ABSENT,-2.874,2.874,-11.975,0.602079,True,True,True,2.148012,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.927,42.0,OBSERVED,1,22.7896,0.927,NOT_ON_REPORT,0,,1,83,ESTABLISHED_5PLUS,qb,8.259876
2026_01_ATL_PIT,2026-09-13T17:00:00Z,A.Rodgers,00-0023459,PIT,QB,qb/pyds,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,226.8526,231.0,95.0,169.0,231.0,293.25,355.0,221.0,OBSERVED,ZERO_IF_ABSENT,5.8526,5.8526,2.6483,0.456429,True,True,True,23.461219,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.927,42.0,OBSERVED,1,244.717,0.927,NOT_ON_REPORT,0,,1,83,ESTABLISHED_5PLUS,qb,34.252927
2026_01_ATL_PIT,2026-09-13T17:00:00Z,A.Rodgers,00-0023459,PIT,QB,qb/ptd,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,1.486,1.0,0.0,0.0,1.0,2.0,3.0,1.0,OBSERVED,ZERO_IF_ABSENT,0.486,0.486,48.6,0.337258,True,True,True,0.322666,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.927,42.0,OBSERVED,1,1.603,0.723,NOT_ON_REPORT,0,,1,83,ESTABLISHED_5PLUS,qb,0.236196
2026_01_ATL_PIT,2026-09-13T17:00:00Z,A.Rodgers,00-0023459,PIT,QB,qb/int,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.472,0.0,0.0,0.0,0.0,1.0,1.0,0.0,OBSERVED,ZERO_IF_ABSENT,0.472,0.472,,0.136171,True,True,True,0.14291,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.927,42.0,OBSERVED,1,0.5092,0.365,NOT_ON_REPORT,0,,1,83,ESTABLISHED_5PLUS,qb,0.222784
2026_01_ATL_PIT,2026-09-13T17:00:00Z,A.Rodgers,00-0023459,PIT,QB,qb/sacks,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,1.86,2.0,0.0,1.0,2.0,3.0,4.0,2.0,OBSERVED,ZERO_IF_ABSENT,-0.14,0.14,-7.0,0.523322,True,True,True,0.386416,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.927,42.0,OBSERVED,1,2.0065,0.783,NOT_ON_REPORT,0,,1,83,ESTABLISHED_5PLUS,qb,0.0196
2026_01_ATL_PIT,2026-09-13T17:00:00Z,A.Rodgers,00-0023459,PIT,QB,qb/db,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,35.42,37.0,17.9,29.0,37.0,44.0,51.0,42.0,OBSERVED,ZERO_IF_ABSENT,-6.58,6.58,-15.6667,0.660792,True,True,True,3.611138,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.927,42.0,OBSERVED,1,38.2093,0.927,NOT_ON_REPORT,0,,1,83,ESTABLISHED_5PLUS,qb,43.2964
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0034771,00-0034771,PIT,QB,qb/att,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,2.093,0.0,0.0,0.0,0.0,1.0,6.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,2.093,2.093,,0.159545,True,True,True,0.240863,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB2,2,BACKUP,qb/db,0.258,0.0,ZERO_BY_COMPLETION,0,8.1124,0.256,NOT_ON_REPORT,0,,1,21,ESTABLISHED_5PLUS,qb,4.380649
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0034771,00-0034771,PIT,QB,qb/cmp,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,1.335,0.0,0.0,0.0,0.0,0.0,4.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,1.335,1.335,,0.168766,True,True,True,0.142559,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB2,2,BACKUP,qb/db,0.258,0.0,ZERO_BY_COMPLETION,0,5.1744,0.213,NOT_ON_REPORT,0,,1,21,ESTABLISHED_5PLUS,qb,1.782225
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0034771,00-0034771,PIT,QB,qb/pyds,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,14.7866,0.0,0.0,0.0,0.0,4.7938,36.4803,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,14.7866,14.7866,,0.159545,True,True,True,1.634172,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB2,2,BACKUP,qb/db,0.258,0.0,ZERO_BY_COMPLETION,0,57.3124,0.256,NOT_ON_REPORT,0,,1,21,ESTABLISHED_5PLUS,qb,218.64354
